SNOMEDCTCodes,Description
104931000119100,Chronic kidney disease due to hypertension
10562009,Malignant hypertension complicating AND/OR reason for care during childbirth
10725009,Benign hypertension
10752641000119102,Eclampsia with pre-existing hypertension in labour and delivery
10757401000119104,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder)
10757441000119102,Pre-existing hypertensive heart disease in mother complicating childbirth (disorder)
10757481000119107,Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy
10759031000119106,Pre-existing hypertensive heart disease in mother complicating pregnancy
1078301000112109,Multi-drug intolerant hypertension
108701000119102,Cardiomyopathy due to hypertension (disorder)
111411000119103,End stage renal disease due to hypertension (disorder)
11399002,Pulmonary hypertensive arterial disease
117681000119102,Chronic kidney disease stage 1 due to hypertension
118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy
1201005,Benign essential hypertension
1218009,Accelerated essential hypertension
123799005,Renovascular hypertension
124214007,Hypertensive congenital adrenal hyperplasia
127991000119101,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder)
129151000119102,Chronic kidney disease stage 4 due to hypertension
129161000119100,Chronic kidney disease stage 5 due to hypertension
129171000119106,Chronic kidney disease stage 3 due to hypertension
129181000119109,Chronic kidney disease stage 2 due to hypertension
132721000119104,Hypertensive emergency
138772000,H/O: hypertension
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder)
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder)
1474004,Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth
147848004,On treatment for hypertension
14973001,Renal sclerosis with hypertension
153851000119106,Malignant hypertensive chronic kidney disease stage 5
153891000119101,End stage renal disease on dialysis due to hypertension (disorder)
155295004,(Hypertensive disease) or (hypertension)
155296003,Essential hypertension
155297007,Hypertensive heart disease
155298002,Hypertensive renal disease (& [nephrosclerosis])
155299005,Hypertensive heart and renal disease
155300002,Secondary hypertension
155301003,Malignant hypertension
155302005,Hypertensive disease NOS
161501007,H/O: hypertension
16229371000119106,Labile systemic arterial hypertension (disorder)
170586008,Hypertension treatm. started
170587004,Hypertensive treatm.changed
170602001,On treatment for hypertension
18416000,Essential hypertension complicating AND/OR reason for care during childbirth
193003,Benign hypertensive renal disease
194756002,Hypertensive disease
194757006,High blood pressure (& [essential hypertension])
194758001,Benign essential hypertension
194759009,Systolic hypertension
194760004,Hypertension NOS (& [essential])
194761000,Malignant hypertensive heart disease
194762007,Malignant hypertensive heart disease without congestive cardiac failure
194763002,Malignant hypertensive heart disease with congestive cardiac failure
194764008,Malignant hypertensive heart disease NOS
194765009,Benign hypertensive heart disease
194766005,Benign hypertensive heart disease without congestive cardiac failure
194767001,Benign hypertensive heart disease with congestive cardiac failure
194768006,Benign hypertensive heart disease NOS
194769003,Hypertensive heart disease NOS
194770002,Hypertensive: [cardiomegaly] or [heart disease NOS without congestive cardiac failure]
194771003,Hypertensive heart disease NOS with congestive cardiac failure
194772005,Hypertensive heart disease NOS
194773000,Hypertensive renal disease (& [nephrosclerosis])
194774006,Hypertensive renal disease with renal failure
194775007,(Renal hypertension) or (hypertensive renal disease NOS)
194776008,Hypertensive heart and renal disease
194777004,Malignant hypertensive heart and renal disease
194778009,Benign hypertensive heart and renal disease
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194780003,Hypertensive heart and renal disease with renal failure
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
194782006,Hypertensive heart and renal disease NOS
194783001,Secondary malignant renovascular hypertension
194784007,Secondary malignant hypertension NOS
194785008,Secondary benign hypertension
194786009,Secondary benign renovascular hypertension
194787000,Secondary benign hypertension NOS
194788005,Hypertension secondary to endocrine disorders
194789002,Secondary hypertension NOS
194790006,Secondary renovascular hypertension NOS
