MedCodeID,Description
9324901000006115,Hyperthyroidism in childbirth
292334016,Toxic uninodular goitre with no crisis
4757701000006113,Toxic uninodular goiter with no crisis
292339014,Toxic multinodular goitre with no crisis
4757741000006110,Toxic multinodular goiter with no crisis
292355019,Thyrotoxicosis from ectopic thyroid nodule with no crisis
4757781000006116,Hyperthyroidism due to ectopic thyroid tissue
292356018,Thyrotoxicosis from ectopic thyroid nodule with crisis
5108051000006118,Hashitoxicosis - transient
5108171000006112,Iatrogenic thyrotoxicosis
5108181000006110,Iatrogenic hyperthyroidism
5108241000006113,Iodide-induced hyperthyroidism
5108251000006110,Jod Basedow iodine induced hyperthyroidism
5108201000006111,Iodine-induced hyperthyroidism
5108221000006118,Iodine-induced thyrotoxicosis
5108231000006115,Jod-Basedow phenomenon
5108211000006114,Jod-Basedow thyrotoxicosis
355996012,Familial dysalbuminaemic hyperthyroxinaemia
5108661000006110,Familial dysalbuminemic hyperthyroxinemia
5108691000006119,Dysprealbuminemic euthyroidal hyperthyroxinemia
5108681000006117,Dysprealbuminaemic euthyroidal hyperthyroxinaemia
2899501000006114,Thyrotoxicosis due to struma ovarii
2899491000006118,Hyperthyroidism due to struma ovarii
292343013,Toxic multinodular goitre NOS
2922461000006118,Toxic multinodular goiter
2922491000006114,Thyrotoxicosis with toxic multinodular goiter
2922521000006111,Toxic multinodular thyroid goiter
2922471000006113,Secondary thyroid hyperplasia
2922481000006111,Thyrotoxicosis due to multinodular goiter
196525014,Toxic multinodular goitre
2922511000006115,Thyrotoxicosis with toxic multinodular goitre
2922501000006118,Thyrotoxicosis due to multinodular goitre
2922531000006114,Toxic multinodular thyroid goitre
2941771000006112,Thyrotoxicosis due to Hashimoto's thyroiditis
2941751000006119,Hyperthyroidism with Hashimoto disease
2941761000006117,Hashitoxicosis
2999631000006112,Toxic nodular goitre with thyrotoxic crisis
2999611000006118,Toxic nodular goiter with thyrotoxic storm
2999601000006116,Toxic nodular goitre with thyrotoxic storm
2999621000006114,Toxic nodular goiter with thyrotoxic crisis
6219771000006118,Subacute autoimmune thyroiditis
3153571000006113,Hyperthyroidism due to hydatidiform mole with thyrotoxic crisis
3153581000006111,Hyperthyroidism due to hydatidiform mole with thyrotoxic storm
7082501000006116,Subacute granulomatous thyroiditis
3221571000006113,Hyperthyroidism due to molar thyrotropin
3221581000006111,Hyperthyroidism due to hydatidiform mole
2588971000006116,Neonatal transient hyperthyroidism
2588981000006118,Transient neonatal hyperthyroidism
292354015,Toxic nodular goitre NOS
292347014,Toxic nodular goitre unspecified with no crisis
3438801000006114,Toxic adenomatous goiter
3438821000006116,Plummer's disease
3438831000006118,Toxic adenomatous goitre
3438791000006113,Toxic nodular goiter
3438811000006112,Toxic struma nodosa
292350012,Toxic nodular goitre unspecified with crisis
292346017,Toxic nodular goitre
2592621000006112,Hyperthyroidism caused by potassium iodide
2592611000006116,Hyperthyroidism secondary to potassium iodide
3508481000006115,Hyperthyroidism caused by amiodarone
3508471000006118,Amiodarone-induced thyrotoxicosis
3508461000006113,Hyperthyroidism secondary to amiodarone
3511871000006114,Toxic multinodular goitre with thyrotoxic crisis
3511901000006114,Toxic multinodular goitre with thyrotoxic storm
3511881000006112,Toxic multinodular goiter with thyrotoxic crisis
3511891000006110,Toxic multinodular goiter with thyrotoxic storm
292342015,Toxic multinodular goitre with crisis
3601351000006115,Hyperthyroidism caused by radio contrast dye
3601341000006117,Hyperthyroidism secondary to radio contrast dye
3627511000006113,Toxic uninodular goitre with thyrotoxic storm
292335015,Toxic uninodular goitre with crisis
3627491000006119,Toxic uninodular goiter with thyrotoxic crisis
3627501000006110,Toxic uninodular goiter with thyrotoxic storm
3627481000006117,Toxic uninodular goitre with thyrotoxic crisis
7573781000006117,Familial gestational hyperthyroidism
7838431000006119,Secondary hyperthyroidism
7838441000006112,Familial hyperthyroidism
3700941000006116,Toxic uninodular goiter
3700981000006110,Thyrotoxicosis due to uninodular goiter
3700961000006117,Thyrotoxicosis with toxic single thyroid nodule
3700951000006119,Toxic thyroid nodule
200396013,Toxic uninodular goitre
292338018,Toxic uninodular goitre NOS
3701001000006114,Toxic uninodular thyroid goiter
3700991000006113,Toxic uninodular thyroid goitre
3700971000006112,Thyrotoxicosis due to uninodular goitre
3918261000006117,Hyperthyroidism due to ectopic thyroid nodule
3918281000006110,Thyrotoxicosis from ectopic thyroid tissue
292357010,Thyrotoxicosis from ectopic thyroid nodule NOS
507481016,Thyrotoxicosis from ectopic thyroid nodule
3941991000006117,Thyrotoxicosis factitia with thyrotoxic crisis
3942001000006115,Thyrotoxicosis factitia with thyrotoxic storm
292361016,Thyrotoxicosis of other specified origin with no crisis
292362011,Thyrotoxicosis of other specified origin with crisis
292365013,Thyrotoxicosis of other specified origin NOS
292366014,Thyrotoxicosis without mention of goitre or other cause
101891000006113,Thyrotoxicosis without mention of goitre or cause no crisis
101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis"
293750016,[X]Other thyrotoxicosis
23518016,Neonatal thyrotoxicosis
661271000006114,Factitia thyrotoxicosis
398782015,Thyrotoxicosis of other specified origin
9370014,Thyrotoxicosis factitia
