MedCodeID,Description
5111021000006115,Panhypopituitarism - X-linked
6297851000006110,Prepuberal dwarfism
398800015,Other specified pituitary dwarfism
6297801000006111,Hypopituitary dwarfism
1785234012,Lorain - Levi dwarfism
6297821000006118,Hyposomatotropic dwarfism
292723017,Pituitary dwarfism NOS
6297811000006114,Pituitary nanism
492180012,Pituitary dwarfism
6297831000006115,Prepubertal dwarfism
7768841000006119,Combined pituitary hormone deficiency genetic form
7768851000006117,Familial congenital hypopituitarism
7768861000006115,Multiple pituitary hormone deficiency genetic form
7811521000006118,"Short stature, pituitary and cerebellar defect and small sella turcica syndrome"
7850321000006110,RHYNS syndrome
7850331000006113,"Retinitis pigmentosa, hypopituitarism, nephronophthisis, skeletal dysplasia syndrome"
7850341000006115,"RHYNS (retinitis pigmentosa, hypopituitarism, nephronophthisis, skeletal dysplasia) syndrome"
315521018,Congenital absence of pituitary gland
