MedCodeID,Description
4355561000006114,Prepuberal panhypopituitarism
2726231000006116,Myopathy in hypopituitarism
682681000006115,Myopathy due to hypopituitarism
1221143017,Post-radiotherapy hypopituitarism
2736211000006113,Hypopituitarism due to radiotherapy
2736221000006117,Radiotherapy-induced hypopituitarism
292709019,Idiopathic panhypopituitarism
292710012,Post-birth injury panhypopituitarism
4758561000006117,Post-infarction panhypopituitarism
211291000006112,Postinfarction panhypopituitarism
5111011000006111,Panhypopituitarism - anterior and posterior
5111021000006115,Panhypopituitarism - X-linked
5111041000006110,Postpartum pituitary necrosis
356227014,Sheehan's syndrome
5111051000006112,Sheehan syndrome
5111061000006114,Partial hypopituitarism
356248011,Iatrogenic hypopituitarism
5111291000006114,Post-traumatic hypopituitarism
5111301000006110,Hypopituitarism secondary to head trauma
5111311000006113,Hypopituitarism due to iron overload
356251016,Pituitary apoplexy
5111371000006116,Hypophysitis
5111381000006118,Autoimmune hypophysitis
5111391000006115,Lymphocytic hypophysitis of pregnancy
5111401000006118,Granulomatous giant-cell hypophysitis
5500171000006115,Idiopathic hypopituitarism
5500181000006117,Post-birth injury hypopituitarism
5500191000006119,Post-infarction hypopituitarism
5524021000006116,Post-infective panhypopituitarism
211361000006114,Postinfective panhypopituitarism
5524011000006112,Post-infective hypopituitarism
356286019,Anterior pituitary hormone deficiency
5761811000006113,Postpartum hypopituitarism
6203011,Hormone-induced hypopituitarism
3021781000006114,Deficient secretion of all pituitary hormones
3021761000006116,Primary hypopituitarism
54086011,Panhypopituitarism
485209010,Simmond's disease
292713014,Other specified panhypopituitarism
3021771000006111,Simmonds' disease
292714015,Panhypopituitarism NOS
6297801000006111,Hypopituitary dwarfism
6297811000006114,Pituitary nanism
6297841000006113,Isolated deficiency of growth hormone in children
492180012,Pituitary dwarfism
1785234012,Lorain - Levi dwarfism
6297851000006110,Prepuberal dwarfism
6297821000006118,Hyposomatotropic dwarfism
292723017,Pituitary dwarfism NOS
398800015,Other specified pituitary dwarfism
6297831000006115,Prepubertal dwarfism
3103091000006111,Hypothyroidism due to TRH deficiency
3103081000006113,Hypothalamic hypothyroidism
11779601000006118,Tertiary hypothyroidism
3156731000006112,Hypopituitarism due to pituitary tumour
3156741000006119,Hypopituitarism due to pituitary tumor
2505711000006118,Secondary hypopituitarism
3502411000006112,Lymphocytic hypopituitarism
3502421000006116,Lymphocytic hypophysitis
7735711000006114,Hypopituitarism due to empty sella turcica syndrome
7735701000006111,Pituitary deficiency due to empty sella turcica syndrome
7768851000006117,Familial congenital hypopituitarism
7768841000006119,Combined pituitary hormone deficiency genetic form
7768861000006115,Multiple pituitary hormone deficiency genetic form
7811521000006118,"Short stature, pituitary and cerebellar defect and small sella turcica syndrome"
7815031000006113,Hypopituitarism following procedure
7815041000006115,Postprocedural hypopituitarism
7850321000006110,RHYNS syndrome
7850331000006113,"Retinitis pigmentosa, hypopituitarism, nephronophthisis, skeletal dysplasia syndrome"
7850341000006115,"RHYNS (retinitis pigmentosa, hypopituitarism, nephronophthisis, skeletal dysplasia) syndrome"
3714521000006111,Deficient secretion of one OR more pituitary hormones
3714551000006119,Pituitary failure
3714561000006117,Pituitary hypofunction
356224019,Hypopituitarism
3714531000006114,Pituitary insufficiency
3714541000006116,Pituitary deficiency
3843691000006115,Pituitary hypothyroidism
3843671000006116,Secondary hypothyroidism
3843681000006118,TSH - Thyroid stimulating hormone deficiency
88781000006119,TSH deficiency
3843711000006117,Hypothyrotropic hypothyroidism
3954361000006113,Pituitary cachexia
508884019,Post-hypophysectomy hypopituitarism
3965971000006113,Hypopituitarism due to pituitary tumor surgery
508883013,Surgically-induced hypopituitarism
3965941000006117,Hypophysectomy-induced hypopituitarism
4062891000006116,Pituitary infarct
4062881000006119,Pituitary infarction
223331000000116,Iatrogenic pituitary disorder
292743011,Iatrogenic pituitary disorder NOS
315521018,Congenital absence of pituitary gland
