SNOMEDCTCodes,Description
74728003,Hypopituitarism (disorder)
237692001,Adrenocorticotropic hormone deficiency (disorder)
237693006,Idiopathic adrenocorticotropic hormone deficiency (disorder)
80599001,Isolated corticotropin deficiency (disorder)
773989002,Late-onset isolated adrenocorticotropic hormone deficiency (disorder)
702949005,Proopiomelanocortin deficiency syndrome (disorder)
237694000,Steroid suppression of adrenocorticotropic hormone secretion (disorder)
2851000119101,Anterior pituitary hormone deficiency (disorder)
721072003,"Short stature, pituitary and cerebellar defect and small sella turcica syndrome (disorder)"
718182008,Combined pituitary hormone deficiency genetic form (disorder)
773664005,"Deficiency in anterior pituitary function, variable immunodeficiency syndrome (disorder)"
397827003,Growth hormone deficiency (disorder)
421684006,Adult growth hormone deficiency (disorder)
421931005,Adult growth hormone deficiency with onset in childhood (disorder)
420351005,Adult-onset growth hormone deficiency (disorder)
724385009,Growth delay due to insulin-like growth factor type 1 deficiency (disorder)
429514007,Growth hormone deficiency after bone marrow transplant (disorder)
237689000,Growth hormone neurosecretory dysfunction (disorder)
237688008,Idiopathic growth hormone deficiency (disorder)
2109003,Isolated somatotropin deficiency (disorder)
18200000,Autosomal recessive isolated somatotropin deficiency (disorder)
7990002,Immunoglobulinemia with isolated somatotropin deficiency (disorder)
237687003,Isolated growth hormone deficiency - autosomal dominant (disorder)
38576000,Nonfamilial hyperinsulinemic isolated somatotropin deficiency (disorder)
17151000119108,Partial growth hormone deficiency (disorder)
237691008,Psychosocial growth hormone deficiency (disorder)
22306000,Transient somatotropin deficiency (disorder)
3072001,Hormone-induced hypopituitarism (disorder)
33927004,Hypogonadotropic hypogonadism (disorder)
62999006,Adiposogenital dystrophy (disorder)
715984007,Cerebellar ataxia with hypogonadism and choroidal dystrophy syndrome (disorder)
722944006,Congenital hypogonadotropic hypogonadism (disorder)
770941005,"Alopecia, progressive neurological defect, endocrinopathy syndrome (disorder)"
722380003,Congenital cataract with intellectual disability and hypogonadotropic hypogonadism syndrome (disorder)
782917007,Familial adrenal hypoplasia with absent pituitary luteinizing hormone (disorder)
722027009,Kallman syndrome with heart disease (disorder)
733113002,Hypogonadotropic hypogonadism retinitis pigmentosa syndrome (disorder)
721842008,Hypogonadotropic hypogonadism with frontoparietal alopecia syndrome (disorder)
773665006,"Hypogonadotropic hypogonadism, severe microcephaly, sensorineural hearing loss, dysmorphism syndrome (disorder)"
