V2Codes,Description
C132.,Hypopituitarism NOS
C1320,Idiopathic panhypopituitarism
C1321,Post-birth injury panhypopituitarism
C1322,Postinfarction panhypopituitarism
C1323,Postinfective panhypopituitarism
C132y,Other specified panhypopituitarism
C132z,Panhypopituitarism NOS
C137.,Iatrogenic hypopituitarism
C1370,Hormone-induced hypopituitarism
C1371,Post-hypophysectomy hypopituitarism
C1372,Post-radiotherapy hypopituitarism
C137z,Iatrogenic pituitary disorder NOS
C1330,Isolated growth hormone deficiency
C1340,Prolactin deficiency
C1342,LH deficiency
C135.,Vasopressin deficiency
PK241,Congenital absence of pituitary gland
C13A.,Pituitary apoplexy
C133.,Pituitary dwarfism
C133y,Other specified pituitary dwarfism
C133z,Pituitary dwarfism NOS
