CTV3Codes,Description
PH1..,Congenital ichthyosis
X78C8,Ichthyosis vulgaris
X78C9,Autosomal dominant ichthyosis vulgaris
X78CB,X-linked recessive ichthyosis
X78CA,Severe ichthyoses
PH13.,Lamellar ichthyosis
X78CD,Erythrodermic lamellar ichthyosis
X78CE,Non-erythrodermic lamellar ichthyosis
X78CF,Autosomal dominant lamellar ichthyosis
X78CG,Non-bullous ichthyosiform erythroderma
X3085,Ichthyosis congenita with biliary atresia
X78CH,Bullous ichthyosis
X78CI,Bullous ichthyosiform erythroderma
X78CJ,Localised bullous ichthyosiform erythroderma
X78CK,Ichthyosis bullosa of Siemens
PH11.,Harlequin ichthyosis
X78CL,Ichthyosis hystrix
X78CM,Ichthyosis hystrix of Curth-Macklin
X78CN,Maleformatio ectodermalis generalisata of Bafverstedt
X78CO,Ichthyosis hystrix gravior of Rheydt
X78CP,Hystrix ichthyosis with deafness
X78CQ,Porcupine man
PH10.,"Congenital ichthyosis, unspecified"
PH1y.,Other specified ichthyosis congenita
XE1ML,Ichthyosis congenita NOS
Pyu90,[X]Other congenital ichthyosis
XE1MK,Ichthyosiform erythroderma
X78C7,Congenital ichthyosiform erythroderma
X507Q,Acquired ichthyosis
X50IK,Keratitis ichthyosis and deafness syndrome
X50IM,Atypical ichthyosis vulgaris with hypogonadism
X78BT,Netherton's syndrome
