SNOMEDCTCodes,Description
111303009,Ichthyosiform erythroderma
12215009,Recessive congenital ichthyosiform erythroderma
13059002,Ichthyosis congenita
157017000,Integument anomalies: [ichthyosis congenita] or [Darier's] or [keratosis follicularis] or [Meige's] or [Milroy's] or [Mongolian spots] or [pseudoxanthoma elasticum] or [congenital NOS]
19604005,Triglyceride storage disease with ichthyosis
201053002,(Acquired ichthyosis) or (acquired keratoderma) or (hyperkeratosis NOS)
201058006,Acquired ichthyosis
20512000,Dominant congenital ichthyosiform erythroderma
205547001,"Congenital ichthyosis, unspecified"
205548006,Harlequin ichthyosis
205549003,Ichthyosiform erythroderma
205550003,Collodion baby
205551004,Ichthyosis vulgaris
205552006,X-linked recessive ichthyosis
205553001,Other specified ichthyosis congenita
205555008,Netherton's syndrome
205556009,(Congenital ichthyosiform erythroderma) or (alligator skin) or (ichthyosis congenita NOS)
205974009,[X]Other congenital ichthyosis
2355008,Dwarfism-ichthyosiform erythroderma-mental deficiency syndrome
235916001,Ichthyosis congenita with biliary atresia
238627002,Follicular ichthyosis
238997007,Drug-induced ichthyosiform reaction
239057002,Cutaneous syndrome with ichthyosis
239058007,Netherton's syndrome
239059004,Keratitis ichthyosis and deafness syndrome
239060009,Atypical ichthyosis vulgaris with hypogonadism
239061008,Keratosis pilaris with ichthyosis and deafness
254127001,Netherton's syndrome
254128006,Recessive congenital ichthyosiform erythroderma
254156001,Ichthyosis congenita NOS
254157005,Ichthyosis vulgaris
254158000,Autosomal dominant ichthyosis vulgaris
254160003,X-linked recessive ichthyosis
254161004,Erythrodermic lamellar ichthyosis
254163001,Non-erythrodermic lamellar ichthyosis
254164007,Autosomal dominant lamellar ichthyosis
254165008,Non-bullous ichthyosiform erythroderma
254166009,Bullous ichthyosis
254167000,Bullous ichthyosiform erythroderma
254168005,Localised bullous ichthyosiform erythroderma
254169002,Ichthyosis bullosa of Siemens
254170001,Ichthyosis hystrix of Curth-Macklin
254171002,Maleformatio ectodermalis generalisata of Bafverstedt
254172009,Ichthyosis hystrix gravior of Rheydt
254173004,Hystrix ichthyosis with deafness
254174005,Porcupine man
255425009,Ichthyosiform
2625009,Keratosis-ichthyosis-deafness syndrome
267372009,Congenital non bullous ichthyosiform erythroderma
268245001,Harlequin fetus
268282005,Ichthyosiform erythroderma
268283000,Ichthyosis congenita NOS
268355000,Ichthyosis congenita
312514006,Netherton's syndrome
34638006,Lamellar ichthyosis AND trichorrhexis invaginata syndrome
3944006,X-linked ichthyosis
396228006,Ichthyosis - acquired
400166009,Ichthyosis - acquired
402368008,Ichthyosiform sarcoidosis (disorder)
402770002,Autosomal dominant ichthyosis (disorder)
402771003,X-linked recessive ichthyosis (disorder)
402772005,Autosomal recessive ichthyosis (disorder)
403777006,Lamellar ichthyosis (limited type) (disorder)
403778001,X-linked dominant ichthyosis (Happle)
403779009,"Ichthyosis, cerebellar degeneration and hepatosplenomegaly (disorder)"
403780007,Autosomal recessive keratitis-ichthyosis-deafness syndrome (disorder)
403781006,"Photosensitivity with ichthyosis, brittle hair, impaired intelligence, decreased fertility and short stature syndrome"
403782004,Ichthyosis follicularis with alopecia and photophobia (IFAP) (disorder)
54336006,Ichthyosis linearis circumflexa
55846006,Ichthyosis of eyelid
67510007,Ichthyosis hystrix
68551007,Limb reduction-ichthyosis syndrome
699315005,Neutral lipid storage disease without ichthyosis
703504006,Congenital reticular ichthyosiform erythroderma (disorder)
716097001,Ichthyosis cheek eyebrow syndrome (disorder)
717041008,Syndromic recessive X-linked ichthyosis (disorder)
717183001,Keratoderma hereditarium mutilans with ichthyosis syndrome (disorder)
718631006,Annular epidermolytic ichthyosis (disorder)
720639008,"Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome (disorder)"
722035007,"Intellectual disability, enteropathy, deafness, peripheral neuropathy, ichthyosis, keratoderma syndrome (disorder)"
722114007,"Osteosclerosis, ichthyosis, premature ovarian failure syndrome"
722385008,"Cerebral dysgenesis, neuropathy, ichthyosis, palmoplantar keratoderma syndrome (disorder)"
724277002,Congenital ichthyosis with hypotrichosis syndrome (disorder)
724278007,"Neonatal sclerosing cholangitis, ichthyosis, hypotrichosis syndrome (disorder)"
724837004,Keratinopathic ichthyosis (disorder)
72523005,Sex-linked ichthyosis
725588002,Bathing suit ichthyosis (disorder)
732950006,"Ichthyosis, oral and digital anomalies syndrome"
732952003,Congenital cataract ichthyosis syndrome
733028000,"Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome"
733097003,"Ichthyosis, intellectual disability, dwarfism, renal impairment syndrome (disorder)"
763401009,Congenital ichthyosis type 4
763404001,"Ichthyosis, alopecia, eclabion, ectropion, intellectual disability syndrome"
763768001,Autosomal recessive exfoliative ichthyosis (disorder)
763775000,"Keratosis linearis, ichthyosis congenita, sclerosing keratoderma syndrome (disorder)"
765471005,"X-linked intellectual disability, hypogonadism, ichthyosis, obesity, short stature syndrome"
782957005,Ichthyosis
783551005,"Ichthyosis, short stature, brachydactyly, microspherophakia syndrome"
8691004,Ichthyosis - acquired
95334005,Senile ichthyosis
