MedCodeID,Description
4193711000006116,Sjogren-Larsson syndrome
222101000000116,Sjogren-Larsson's syndrome
4193741000006117,FAO - Fatty alcohol-nicotinamide adenine dinucleotide oxidase-reductase deficiency
4193731000006110,Fatty alcohol-nicotinamide adenine dinucleotide oxidoreductase deficiency
4193701000006119,Sj̦gren-Larsson syndrome
315221019,Other specified ichthyosis congenita
2707231000006114,Congenital ichthyosis of skin
400944017,Ichthyosis congenita NOS
315209018,"Congenital ichthyosis, unspecified"
2707261000006117,Fish scale disease
2707281000006110,Fish skin
2707271000006112,Ichthyosis
2707241000006116,Ichthyosis congenita
315784014,[X]Other congenital ichthyosis
22356014,Congenital ichthyosis
2811251000006111,Ichthyosiform erythroderma with leucocyte vacuolation
2811231000006116,Neutral lipid storage disease
2811181000006111,Triglyceride storage disease with ichthyosis
2811191000006114,Chanarin-Dorfman disease
2811241000006114,Lipid storage myopathy AND congenital ichthyosis
2811221000006119,Ichthyotic neutral lipid storage disease
2811211000006110,Ichthyosiform erythroderma with leukocyte vacuolation
2811201000006112,Chanarin-Miranda syndrome
4830731000006116,Harlequin ichthyosis
315218016,Collodion baby
4830741000006114,Lamellar ichthyosis
2536391000006113,Dwarfism-ichthyosiform erythroderma-mental deficiency syndrome
2536401000006110,Rud syndrome
2536381000006110,Rud's syndrome
5087301000006113,Ichthyosis congenita with biliary atresia
5124311000006116,Follicular ichthyosis
5128941000006114,Drug-induced ichthyosiform reaction
5129661000006110,Cutaneous syndrome with ichthyosis
5129701000006119,Kid syndrome
5129671000006115,Keratitis ichthyosis and deafness syndrome
5129681000006117,KIDS - Keratitis ichthyosis and deafness syndrome
5129691000006119,Keratitis ichthyosis deafness syndrome
5129711000006116,Atypical ichthyosis vulgaris with hypogonadism
5129721000006112,Keratosis pilaris with ichthyosis and deafness
378335017,Congenital ichthyosiform erythroderma
378336016,Alligator skin
378337013,Ichthyosis vulgaris
5338421000006116,ADI - Autosomal dominant ichthyosis vulgaris
5338411000006112,Autosomal dominant ichthyosis vulgaris
5338441000006111,Erythrodermic lamellar ichthyosis
5338461000006110,Non-erythrodermic lamellar ichthyosis
5338471000006115,Autosomal dominant lamellar ichthyosis
5338481000006117,Non-bullous ichthyosiform erythroderma
5338491000006119,Bullous ichthyosis
5338541000006112,Dominant ichthyosis vulgaris
5338531000006119,Congenital bullous ichthyosiform erythroderma
5338511000006113,Epidermolytic hyperkeratosis
5338521000006117,BIE - Bullous ichthyosiform erythroderma
5338501000006110,Bullous ichthyosiform erythroderma
5338561000006111,Localized bullous ichthyosiform erythroderma
5338551000006114,Localised bullous ichthyosiform erythroderma
5338571000006116,Ichthyosis bullosa of Siemens
5338581000006118,Ichthyosis hystrix of Curth-Macklin
5338591000006115,Maleformatio ectodermalis generalisata of Bafverstedt
5338601000006111,Ichthyosis hystrix gravior of Rheydt
5338621000006118,HID - Hystrix ichthyosis with deafness syndrome
5338611000006114,Hystrix ichthyosis with deafness
5338631000006115,Porcupine man
5360041000006110,Ichthyosiform
2540821000006116,Senter syndrome
5500021000006117,Congenital non bullous ichthyosiform erythroderma
5503971000006114,Harlequin foetus
315211010,Harlequin fetus
5503961000006119,Lamellar desquamation of the newborn
5504141000006117,Ichthyosiform dermatosis
400942018,Ichthyosiform erythroderma
6017611000006117,Axial osteosclerosis with bamboo hair
6017621000006113,Netherton syndrome
456246014,Netherton's syndrome
6017601000006115,Comel-Netherton syndrome
3057711000006111,Netherton's disease
3057701000006113,Lamellar ichthyosis AND trichorrhexis invaginata syndrome
8576010,X-linked ichthyosis
2561941000006115,X-linked placental steryl-sulphatase deficiency
2561951000006118,Placental sulfatase deficiency (X-linked steryl-sulfatase deficiency) in a female
2561931000006113,Steroid sulphatase deficiency
2561901000006117,X-linked placental steryl-sulfatase deficiency
2561861000006112,Steroid sulfatase deficiency
2561851000006110,Placental sulphatase deficiency
2561881000006119,Placental sulfatase deficiency
2561921000006110,Placental steroidal sulphatase deficiency
2561911000006119,XRI - X-linked recessive ichthyosis
2561891000006116,Placental steroidal sulfatase deficiency
357656014,Hyperkeratosis NOS
6566101000006110,Hyperkeratosis of skin
1776209011,Hyperkeratosis
6566091000006116,HK - Hyperkeratosis
754531000006110,Keratosis palmaris
754411000006117,Acquired keratoderma
83991000006110,Tylosis palmaris et plantaris
399926017,Acquired keratoderma NOS
6664311000006113,Ichthyosiform sarcoidosis
6669861000006118,Autosomal dominant ichthyosis
6669871000006113,Autosomal recessive ichthyosis
6687031000006110,Lamellar ichthyosis (limited type)
6687051000006115,X-linked dominant ichthyosis (Happle)
6687041000006117,X-linked dominant chondrodysplasia punctata of Happle
6687061000006118,"Ichthyosis, cerebellar degeneration and hepatosplenomegaly"
6687081000006111,"Autosomal recessive KID (keratitis, ichthyosis, deafness) syndrome"
6687071000006113,Autosomal recessive keratitis-ichthyosis-deafness syndrome
6687101000006115,"PIBIDS syndrome, photosensitivity with IBIDS"
6687091000006114,"Photosensitivity with ichthyosis, brittle hair, impaired intelligence, decreased fertility and short stature syndrome"
6687121000006113,IFAP - ichthyosis follicularis with alopecia and photophobia
6687111000006117,Ichthyosis follicularis with alopecia and photophobia (IFAP)
6687131000006111,Ichthyosis follicularis with alopecia and photophobia
3381711000006110,Ichthyosis linearis circumflexa
3598261000006114,Ichthyosis hystrix
3615411000006113,Limb reduction-ichthyosis syndrome
7520411000006114,Neutral lipid storage disease with myopathy
7520421000006118,Neutral lipid storage disease without ichthyosis
7576611000006110,Ichthyosis with confetti
7576601000006112,Congenital reticular ichthyosiform erythroderma
7576621000006119,Ichthyosis variegata
7576631000006116,CRIE - Congenital reticular ichthyosiform erythroderma
7742321000006114,ICE (ichthyosis cheek eyebrow) syndrome
7742301000006116,Ichthyosis cheek eyebrow syndrome
7742311000006118,Sidransky Feinstein Goodman syndrome
7755891000006111,Syndromic X-linked ichthyosis
7755881000006113,Syndromic recessive X-linked ichthyosis
7757571000006119,Keratoderma hereditarium mutilans with ichthyosis syndrome
7757591000006118,Keratoderma ichthyosiform dermatosis elevated beta-glucuronidase syndrome
7757581000006116,Camisa disease
7757601000006114,Vohwinkel ichthyosis syndrome
7775121000006117,Annular epidermolytic ichthyosis
7806491000006110,"CHIME (coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability, ear anomaly) syndrome"
7806511000006116,Zunich Kaye syndrome
7806481000006112,CHIME syndrome
7806471000006114,"Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome"
7806501000006119,Neuroectodermal dysplasia CHIME type
7826481000006116,"MEDNIK (mental retardation, enteropathy, deafness, peripheral neuropathy, ichtyosis, keratodermia) syndrome"
7826461000006114,MEDNIK syndrome
7826501000006114,Erythrokeratodermia variabilis Kamouraska type
7826471000006119,"Intellectual disability, enteropathy, deafness, peripheral neuropathy, ichthyosis, keratoderma syndrome"
7826491000006118,Erythrokeratodermia variabilis 3
7827531000006116,"Osteosclerosis, ichthyosis, premature ovarian failure syndrome"
7827521000006119,"Sclerosing dysplasia of bone, ichthyosis, premature ovarian failure syndrome"
7830741000006118,"Cerebral dysgenesis, neuropathy, ichthyosis, palmoplantar keratoderma syndrome"
7830751000006116,"CEDNIK (cerebral dysgenesis, neuropathy, ichthyosis, keratoderma) syndrome"
7830731000006111,CEDNIK syndrome
7854051000006110,"Ichthyosis, follicular atrophoderma, hypotrichosis syndrome"
7854041000006113,Congenital ichthyosis with hypotrichosis syndrome
7854081000006119,"NISCH (neonatal ichthyosis, sclerosing cholangitis, hypotrichosis) syndrome"
7854071000006117,"Ichthyosis, hypotrichosis, sclerosing cholangitis syndrome"
7854061000006112,"Neonatal sclerosing cholangitis, ichthyosis, hypotrichosis syndrome"
7854091000006116,NISCH syndrome
7861911000006115,Keratinopathic ichthyosis
3679321000006119,X-linked ichthyosis with steryl-sulfatase deficiency
3679311000006110,X-linked ichthyosis
3679291000006111,X-linked ichthyosis with steryl-sulphatase deficiency
3679301000006112,Sex-linked ichthyosis
7870981000006112,Bathing suit ichthyosis
7951631000006117,"Ichthyosis, oral and digital anomalies syndrome"
7951641000006110,Clayton-Smith Donnai syndrome
7951671000006119,Congenital cataract ichthyosis syndrome
7952691000006110,"Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome"
7953661000006110,Passwell Goodman Siprkowski syndrome
7953651000006113,"Ichthyosis, intellectual disability, dwarfism, renal impairment syndrome"
12003951000006115,Congenital ichthyosis type 4
12003941000006117,Ichthyosis prematurity syndrome
12004011000006119,"Jagell, Holmgren, Hofer syndrome"
12004001000006117,"Ichthyosis, alopecia, eclabion, ectropion, intellectual disability syndrome"
12009811000006114,Autosomal recessive exfoliative ichthyosis
12009831000006115,Exfoliative ichthyosis
12009821000006118,Ichthyosis exfoliativa
12009941000006115,"Keratosis linearis, ichthyosis congenita, sclerosing keratoderma syndrome"
12009951000006118,KLICK syndrome
12031531000006114,Young Hughes syndrome
12031521000006111,"X-linked intellectual disability, hypogonadism, ichthyosis, obesity, short stature syndrome"
15337014,Acquired ichthyosis
787041000006112,Ichthyosis - acquired
4054971000006110,Senile ichthyosis
