MedCodeID,Description
8435781000006117,Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) activity score
8435801000006118,Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) impairment score
8435811000006115,Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) participation score
2670911000006112,IBS - Irritable bowel syndrome
18666015,Irritable bowel syndrome
18665016,Spastic colon
886361000006114,Irritable bowel - IBS
2670921000006116,Irritable bowel
2670891000006110,Functional bowel disease
2670951000006113,IC - Irritable colon
2670871000006114,Mucous colitis
2670881000006112,Colon spasm
2670931000006118,Spastic colitis
2670821000006113,Irritable colon
2670901000006114,Nervous colitis
2670941000006111,Irritable colon syndrome
742351000006119,Irritable colon - Irritable bowel syndrome
8459001000006110,IBS-SSS - Irritable Bowel Syndrome - Symptom Severity Scale
8458991000006110,Irritable Bowel Syndrome - Symptom Severity Scale
8460281000006112,Assessment using Irritable Bowel Syndrome - Symptom Severity Scale
8460291000006110,Assessment using IBS-SSS (Irritable Bowel Syndrome - Symptom Severity Scale)
303172010,Irritable bowel syndrome with diarrhoea
4786241000006112,Irritable bowel syndrome with diarrhea
5086151000006112,Irritable bowel syndrome variant of childhood
5086161000006114,Irritable bowel syndrome variant of childhood with diarrhoea
5086171000006119,Irritable bowel syndrome variant of childhood with diarrhea
5086181000006116,Irritable bowel syndrome variant of childhood with constipation
7238961000006111,Irritable bowel syndrome characterized by alternating bowel habit
1927491000006111,Irritable bowel syndrome characterised by alternating bowel habit
2791650019,Irritable bowel syndrome characterised by constipation
7240101000006111,Constipation predominant irritable bowel syndrome
7240111000006114,Irritable bowel syndrome characterized by constipation
303071000000118,History of irritable bowel syndrome
8022171000006115,H/O irritable bowel syndrome
2129721000000119,Management of irritable bowel syndrome
2346441000000118,Dietary education for irritable bowel syndrome
