ICD10Codes,Description
M00,Pyogenic arthritis
M00.0,Staphylococcal arthritis and polyarthritis
M00.1,Pneumococcal arthritis and polyarthritis
M00.2,Other streptococcal arthritis and polyarthritis
M00.8,Arthritis and polyarthritis due to other specified bacterial agents
M00.9,"Pyogenic arthritis, unspecified"
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M01.0,Meningococcal arthritis
M01.1,Tuberculous arthritis
M01.2,Arthritis in Lyme disease
M01.3,Arthritis in other bacterial diseases classified elsewhere
M01.6,Arthritis in mycoses
M01.8,Arthritis in other infectious and parasitic diseases classified elsewhere
