SNOMEDCTCodes,Description
410795001,Juvenile rheumatoid arthritis (disorder)
75822003,Acute polyarticular juvenile rheumatoid arthritis (disorder)
1961000,Chronic polyarticular juvenile rheumatoid arthritis (disorder)
201799006,Monarticular juvenile rheumatoid arthritis (disorder)
74391003,Pauciarticular juvenile rheumatoid arthritis (disorder)
239797009,Early onset pauciarticular chronic arthritis (disorder)
239798004,Late onset pauciarticular chronic arthritis (disorder)
201796004,Systemic onset juvenile chronic arthritis (disorder)
410797009,Juvenile seronegative polyarthritis (disorder)
239799007,Early onset polyarticular juvenile chronic arthritis (disorder)
410796000,Juvenile seropositive polyarthritis (disorder)
239802003,Juvenile psoriatic arthritis (disorder)
239803008,Juvenile psoriatic arthritis with psoriasis (disorder)
239804002,Juvenile psoriatic arthritis without psoriasis (disorder)
410802003,"Juvenile idiopathic arthritis, undifferentiated arthritis (disorder)"
410502007,Juvenile idiopathic arthritis (disorder)
410801005,"Juvenile idiopathic arthritis, enthesitis related arthritis (disorder)"
410798004,"Juvenile idiopathic arthritis, oligoarthritis (disorder)"
410800006,"Juvenile idiopathic arthritis, extended oligoarthritis (disorder)"
410799007,"Juvenile idiopathic arthritis, persistent oligoarthritis (disorder)"
62131000000107,"Juvenile idiopathic arthritis, persistent monoarthritis (disorder)"
16044751000119106,Polyarticular juvenile idiopathic arthritis (disorder)
16024431000119108,Acute polyarticular juvenile idiopathic arthritis (disorder)
239796000,Juvenile chronic arthritis (disorder)
201805000,Juvenile arthritis in Crohn's disease (disorder)
201807008,Juvenile arthritis in ulcerative colitis (disorder)
416666007,Anterior uveitis in juvenile idiopathic arthritis (disorder)
239809007,Juvenile arthritis of inflammatory bowel disease (disorder)
239808004,Juvenile reactive arthritis triad (disorder)
239806000,Juvenile spondyloarthropathy (disorder)
239805001,Juvenile ankylosing spondylitis (disorder)
