V2Codes,Description
G759.,Juvenile polyarteritis
N045.,Other juvenile arthritis
N0450,Juvenile ankylosing spondylitis
N0451,Juvenile seronegative polyarthritis
N0452,Juvenile arthritis in psoriasis
N0453,Juvenile arthritis in Crohn's disease
N0454,Juvenile arthritis in ulcerative colitis
N0455,Juvenile rheumatoid arthritis
N0456,Pauciarticular onset juvenile chronic arthritis
N043.,Juvenile rheumatoid arthritis - Still's disease
N0430,Juvenile rheumatoid arthropathy unspecified
N0431,Acute polyarticular juvenile rheumatoid arthritis
N0432,Pauciarticular juvenile rheumatoid arthritis
N0433,Monarticular juvenile rheumatoid arthritis
N043z,Juvenile rheumatoid arthritis NOS
