MedCodeID,Description
3517829010,Acute polyarticular juvenile idiopathic arthritis
12685471000006113,"Juvenile idiopathic arthritis, polyarthritis"
3528163014,Polyarticular juvenile idiopathic arthritis
2530001000006117,Chronic polyarticular juvenile rheumatoid arthritis
889841000006113,Still's disease - juvenile R.A
4809311000006110,Systemic juvenile idiopathic arthritis
4809281000006113,Systemic onset juvenile chronic arthritis
4809321000006119,Juvenile onset Still's disease
4809301000006112,Systemic onset juvenile rheumatoid arthritis
4809291000006111,Juvenile arthritis with systemic onset
4809341000006114,Monoarticular juvenile rheumatoid arthritis
309827014,Monarticular juvenile rheumatoid arthritis
309833017,Juvenile arthritis in Crohn's disease
4809351000006111,Juvenile arthritis in Crohn disease
309836013,Juvenile arthritis in ulcerative colitis
312523013,[X]Other juvenile arthritis
309829012,Juvenile arthritis
5139381000006114,JCA - Juvenile chronic arthritis
5139361000006116,Juvenile chronic arthritis
5139401000006114,EOPCA - Early onset pauciarticular chronic arthritis
5139391000006112,Early onset pauciarticular chronic arthritis
5139411000006112,Late onset pauciarticular chronic arthritis
5139421000006116,LOPCA - Late onset pauciarticular chronic arthritis
5139431000006118,Early onset polyarticular juvenile chronic arthritis
5139451000006113,Juvenile psoriatic arthritis
5139461000006110,Juvenile psoriatic arthritis with psoriasis
359310019,Juvenile arthritis in psoriasis
5139481000006117,Juvenile psoriatic arthritis without psoriasis
359312010,Juvenile ankylosing spondylitis
5139501000006110,AS - Juvenile ankylosing spondylitis
5139511000006113,Juvenile spondyloarthropathy
5139541000006112,Juvenile Reiter syndrome
5139531000006119,Juvenile Reiter's syndrome
5139551000006114,Juvenile arthritis of inflammatory bowel disease
6798411000006117,Juvenile idiopathic arthritis
755441000006119,Juvenile rheumatoid arthritis - Still's disease
2472447010,Juvenile rheumatoid arthritis
6802581000006114,JRA - Juvenile rheumatoid arthritis
309828016,Juvenile rheumatoid arthritis NOS
6802621000006114,Juvenile seropositive arthritis
6802601000006116,"Juvenile rheumatoid arthritis, seropositive"
6802611000006118,"Juvenile idiopathic arthritis, polyarthritis, rheumatoid factor positive"
6802631000006112,"Juvenile chronic arthritis, polyarticular seropositive"
6802591000006112,Juvenile seropositive polyarthritis
2472449013,Juvenile seronegative polyarthritis
6802661000006115,"Juvenile idiopathic arthritis, polyarthritis, rheumatoid factor negative"
6802651000006117,"Juvenile chronic arthritis, polyarticular seronegative"
6802671000006110,"Juvenile idiopathic arthritis, oligoarthritis"
6802681000006113,"Juvenile idiopathic arthritis, persistent oligoarthritis"
6802691000006111,"Juvenile idiopathic arthritis, extended oligoarthritis"
6802701000006111,"Juvenile idiopathic arthritis, enthesitis related arthritis"
6802711000006114,"Juvenile idiopathic arthritis, undifferentiated arthritis"
6895371000006114,Anterior uveitis in juvenile idiopathic arthritis
6895391000006110,Anterior uveitis in juvenile rheumatoid arthritis
6895401000006112,Anterior uveitis in juvenile chronic arthritis
6895381000006112,Iritis in juvenile idiopathic arthritis
12616271000006116,"Juvenile idiopathic arthritis, persistent monoarthritis"
3709261000006115,JCA - Pauciarticular onset juvenile chronic arthritis
123542016,Pauciarticular juvenile rheumatoid arthritis
3709271000006110,Pauciarticular onset juvenile arthritis
502690012,Pauciarticular onset juvenile chronic arthritis
3709251000006117,Pauciarticular juvenile rheumatoid arthritis
125937016,Acute polyarticular juvenile rheumatoid arthritis
3732891000006112,Acute juvenile rheumatoid arthritis
309824019,Juvenile rheumatoid arthropathy unspecified
394571000006116,Chronic arthritis of juvenile onset
300593015,Juvenile polyarteritis
