MedCodeID,Description
4095121000006116,"Acute myeloid leukemia, t(16;16)(p13;q22)"
4095091000006115,Acute myelomonocytic leukaemia with abnormal eosinophils
4095151000006113,"Acute myeloid leukemia, CBF-beta/MYH11"
4095141000006111,"Acute myeloid leukemia, inv(16)(p13q22)"
4095171000006115,Acute myeloid leukaemia with abnormal marrow eosinophils and inv(16)(p13q22) or t(16;16)(p13;q22)
4095071000006116,Acute myeloid leukemia with abnormal marrow eosinophils
4095101000006114,"Acute myeloid leukaemia, CBF-beta/MYH11"
4095081000006118,"Acute myeloid leukaemia, inv(16)(p13q22)"
4095131000006118,Acute myelomonocytic leukemia with abnormal eosinophils
4095111000006112,"Acute myeloid leukaemia, t(16;16)(p13;q22)"
4095061000006111,Acute myelomonocytic leukaemia with eosinophils
4095161000006110,Acute myeloid leukemia with abnormal marrow eosinophils and inv(16)(p13q22) or t(16;16)(p13;q22)
4095031000006119,Acute myeloid leukaemia with abnormal marrow eosinophils
4095041000006112,Acute myelomonocytic leukemia with eosinophils
4095051000006114,FAB M4E
4095281000006113,"Acute myeloblastic leukaemia, minimal differentiation"
4095191000006119,"Acute myeloid leukemia, minimal differentiation"
4095201000006116,"Acute myeloblastic leukemia, minimal differentiation"
4095241000006119,FAB M0
4095261000006115,"Acute myelocytic leukaemia, minimal differentiation"
4095271000006110,"Acute myelogenous leukaemia, minimal differentiation"
4095181000006117,"Acute myeloid leukaemia, minimal differentiation"
4095251000006117,"Acute granulocytic leukaemia, minimal differentiation"
4095211000006118,"Acute granulocytic leukemia, minimal differentiation"
4095221000006114,"Acute myelogenous leukemia, minimal differentiation"
4095231000006112,"Acute myelocytic leukemia, minimal differentiation"
4095361000006113,Acute granulocytic leukaemia without maturation
4095371000006118,Acute myelogenous leukaemia without maturation
4095291000006111,Acute myeloid leukaemia without maturation
4095321000006119,Acute granulocytic leukemia without maturation
4095301000006112,Acute myeloid leukemia without maturation
4095381000006115,Acute myelocytic leukaemia without maturation
4095331000006116,Acute myelogenous leukemia without maturation
4095351000006111,FAB M1
4095391000006117,Acute myeloblastic leukaemia without maturation
4095341000006114,Acute myelocytic leukemia without maturation
4095311000006110,Acute myeloblastic leukemia without maturation
4095481000006112,Acute myeloblastic leukaemia with maturation
4095471000006114,Acute granulocytic leukaemia with maturation
4095431000006111,Acute granulocytic leukemia with maturation
4095411000006117,Acute myeloid leukemia with maturation
4095401000006115,Acute myeloid leukaemia with maturation
4095421000006113,Acute myeloblastic leukemia with maturation
4095501000006119,Acute myelocytic leukaemia with maturation
4095461000006119,FAB M2
4095491000006110,Acute myelogenous leukaemia with maturation
4095441000006118,Acute myelogenous leukemia with maturation
4095451000006116,Acute myelocytic leukemia with maturation
4173491000006110,Mast cell leukemia (clinical)
4173481000006112,Mast cell leukaemia (clinical)
4173511000006116,Mast cell leukemia
