MedCodeID,Description
4806131000006114,Lichen planus subtropicus
308780010,Lichen planus actinicus
4806121000006111,Actinic lichen planus
4806151000006119,Annular lichen planus
308783012,Lichen planus annularis
308784018,Lichen planus obtusus
308785017,Subacute active lichen planus
5103491000006114,Lichen planus of vulva
5124581000006115,Confluent lichen planus
5124591000006117,Micropapular lichen planus
5124601000006113,Guttate lichen planus
5124611000006111,Papular lichen planus
5124621000006115,Zosteriform lichen planus
5124631000006117,Post-inflammatory hyperpigmentation in lichen planus
5124651000006112,Wickham's striae in lichen planus
5124661000006114,Wickham striae in lichen planus
5124691000006118,Lichen planus erythematosus
5124681000006116,Lichen planus with lupus erythematosus
5124671000006119,Lichen planus-lupus erythematosus overlap
5124701000006118,Lichen planus pemphigoides
5124711000006115,Site-specific lichen planus
5124721000006111,Lichen planus of scalp
5124731000006114,Lichen planopilaris of scalp
5124741000006116,Lichen planus of palms and soles
5124751000006119,Ulcerative lichen planus of palms and soles
5124761000006117,Lichen planus of nail
5124781000006110,Mutilating lichen planus of fingers and toes
5124851000006113,Lichen planus of lips
5124871000006115,Genital lichen planus
5124891000006119,Lichen planus of penis
5124901000006115,Lichen planus of glans penis
1224932013,Lichen planus atrophicus
2913811000006116,Atrophic lichen planus
5468891000006115,Lichen planus-like
6634891000006118,Flexural lichen planus
6664041000006110,K̦bner reaction from lichen planus
6664051000006112,Kobner reaction from lichen planus
6664061000006114,Chronic lichen planus
6664101000006112,Poikiloderma due to lichen planus
6677241000006117,Lichenoid actinic keratosis
6677251000006115,Lichen planus-like keratosis
1787682012,Lichenoid keratosis
3217071000006115,Linear lichen planus
1230103010,Lichen planus linearis
2575151000006111,LP - Lichen planus
2575141000006114,Ruber planus
308787013,Lichen planus NOS
8963013,Lichen planus
309333012,[X]Other lichen planus
1232173015,Lichen planus bullosus
2597311000006114,Bullous lichen planus
107259017,Lichen planopilaris
3549561000006112,Lichen planus follicularis
763411000006112,Follicular lichen planus
3610721000006118,Hypertrophic lichen planus
1233028016,Lichen planus hypertrophicus
7756201000006113,Lichen planus pigmentosus
7756211000006111,Lichen planus pigmentosa
7756221000006115,Lichen planus pigmentosus inversus
7804391000006114,Annular atrophic lichen planus
7813191000006112,Hypertrophic vulval lichen planus
7813201000006110,Hypertrophic lichen planus of vulva
7839131000006117,Acute eruptive lichen planus
7879121000006118,Lichen planus co-occurrent with onycholysis
744311000006113,Lichen ruber moniliforme
