MedCodeID,Description
4189721000006111,"Lichen sclerosus et atrophicus, bullous type"
4790791000006111,BXO - Balanitis xerotica obliterans
502631000006111,Balanitis xerotica obliterans
4790781000006113,Lichen sclerosus of penis
304495015,Balanitis xerotica obliterans
358088015,Genital lichen sclerosus
5128161000006111,Extragenital lichen sclerosus
5128171000006116,Guttate lichen sclerosus
43034019,Lichen sclerosus et atrophicus
2910841000006113,White spot disease
2910831000006115,Lichen sclerosus
2921781000006112,Lichen sclerosus et atrophicus of the vulva
2921791000006110,Kraurosis vulvae
2921811000006114,Lichen sclerosus of vulva
1225008014,Kraurosis of vulva
6665161000006114,Generalized extragenital lichen sclerosus
6665151000006112,Generalised extragenital lichen sclerosus
6665171000006119,Bullous extragenital lichen sclerosus
6665181000006116,Adult lichen sclerosus
6665191000006118,Childhood lichen sclerosus
6669091000006117,Lichen sclerosus of male genitalia
6669101000006111,Lichen sclerosus of female genitalia
6683071000006118,"Lichen sclerosus of penis, childhood form"
6683081000006115,"Vulval lichen sclerosus, childhood form"
6683091000006117,Anogenital lichen sclerosus
6683121000006118,Localized extragenital lichen sclerosus
6683111000006114,Localised extragenital lichen sclerosus
7530701000006116,Lichen sclerosus of penis
7813591000006117,Prepubertal lichen sclerosus of vulva
