SNOMEDCTCodes,Description
9651007,Long QT syndrome (disorder)
442946007,Acquired long QT syndrome (disorder)
442917000,Familial long QT syndrome (disorder)
715971003,Long QT syndrome caused by drug (disorder)
422348008,Andersen Tawil syndrome (disorder)
373905003,Jervell and Lange-Nielsen syndrome (disorder)
1208884000,Long QT syndrome type 10 (disorder)
1208881008,Long QT syndrome type 11 (disorder)
1208868001,Long QT syndrome type 12 (disorder)
1208870005,Long QT syndrome type 13 (disorder)
1208864004,Long QT syndrome type 2 (disorder)
1208866002,Long QT syndrome type 3 (disorder)
1208861007,Long QT syndrome type 4 (disorder)
1208863005,Long QT syndrome type 5 (disorder)
1208909006,Long QT syndrome type 6 (disorder)
1208911002,Long QT syndrome type 9 (disorder)
20852007,Romano-Ward syndrome (disorder)
699256006,Timothy syndrome type 1 (disorder)
719907006,Timothy syndrome type 2 (disorder)
1230097004,Atypical Timothy syndrome (disorder)
426882006,Electrocardiographic torsades de pointes (finding)
111975006,Prolonged QT interval (finding)
