V2Codes,Description
BBg1.,[M]Lymphoma NOS
BBg10,"[M]Malignant lymphoma, diffuse NOS"
B61..,Hodgkin lymphoma
B610.,Hodgkin's paragranuloma
B6100,Hodgkin's paragranuloma of unspecified site
B6101,"Hodgkin's paragranuloma of lymph nodes of head, face, and neck"
B6102,Hodgkin's paragranuloma of intrathoracic lymph nodes
B6103,Hodgkin's paragranuloma of intra-abdominal lymph nodes
B6104,Hodgkin's paragranuloma of lymph nodes of axilla and upper limb
B6105,Hodgkin's paragranuloma of lymph nodes of inguinal region and lower limb
B6106,Hodgkin's paragranuloma of intrapelvic lymph nodes
B6107,Hodgkin's paragranuloma of spleen
B6108,Hodgkin's paragranuloma of lymph nodes of multiple sites
B610z,Hodgkin's paragranuloma NOS
B611.,Hodgkin's granuloma
B6110,Hodgkin's granuloma of unspecified site
B6111,"Hodgkin's granuloma of lymph nodes of head, face and neck"
B6112,Hodgkin's granuloma of intrathoracic lymph nodes
B6113,Hodgkin's granuloma of intra-abdominal lymph nodes
B6114,Hodgkin's granuloma of lymph nodes of axilla and upper limb
B6115,Hodgkin's granuloma of lymph nodes of inguinal region and lower limb
B6116,Hodgkin's granuloma of intrapelvic lymph nodes
B6117,Hodgkin's granuloma of spleen
B6118,Hodgkin's granuloma of lymph nodes of multiple sites
B611z,Hodgkin's granuloma NOS
B612.,Hodgkin's sarcoma
B6120,Hodgkin's sarcoma of unspecified site
B6121,"Hodgkin's sarcoma of lymph nodes of head, face and neck"
B6122,Hodgkin's sarcoma of intrathoracic lymph nodes
B6123,Hodgkin's sarcoma of intra-abdominal lymph nodes
B6124,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B6125,Hodgkin's sarcoma of lymph nodes of inguinal region and lower limb
B6126,Hodgkin's sarcoma of intrapelvic lymph nodes
B6127,Hodgkin's sarcoma of spleen
B6128,Hodgkin's sarcoma of lymph nodes of multiple sites
B612z,Hodgkin's sarcoma NOS
B613.,"Hodgkin's disease, lymphocytic-histiocytic predominance"
B6130,"Hodgkin's disease, lymphocytic-histiocytic predominance of unspecified site"
B6131,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck"
B6133,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes"
B6132,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes"
B6134,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb"
