MedCodeID,Description
4094971000006116,Subcutaneous panniculitis-like T-cell lymphoma
4094981000006118,Subcutaneous panniculitic T-cell lymphoma
4094991000006115,Hepatosplenic gamma-delta cell lymphoma
4095011000006113,Enteropathy associated T-cell lymphoma
4095021000006117,Enteropathy-type T-cell lymphoma
4095001000006110,Intestinal T-cell lymphoma
2534468012,Angioimmunoblastic T-cell lymphoma
2731341000000117,Angioimmunoblastic T-cell lymphoma with dysproteinaemia
2734841000000110,B-cell Hodgkin's lymphoma
82041000006113,B-cell non-Hodgkin's lymphoma
292193016,[X]Unspecified B-cell non-Hodgkin's lymphoma
4172191000006111,Diffuse non-Hodgkin lymphoma
292173012,[X]Other types of diffuse non-Hodgkin's lymphoma
1815451000006113,Nonfollicular lymphoma
292191019,Diffuse non-Hodgkin's lymphoma
621091000006113,"Diffuse non-Hodgkin's lymphoma, unspecified"
4172211000006112,"Diffuse non-Hodgkin's lymphoma, undifferentiated"
4172221000006116,"Diffuse non-Hodgkin lymphoma, undifferentiated"
4172311000006115,"Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)"
1219545019,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
4172321000006111,Malignant lymphoma - immunoblastic
4172361000006117,"Diffuse non-Hodgkin lymphoma, immunoblastic"
4172341000006116,Immunoblastic malignant lymphoma - large cell
4172371000006112,"Lymphoma, immunoblastic, high grade"
4172351000006119,"Diffuse non-Hodgkin's lymphoma, immunoblastic"
4172401000006110,"Diffuse non-Hodgkin lymphoma, small cleaved cell"
4172381000006110,"Diffuse non-Hodgkin's lymphoma, small cleaved cell (clinical)"
4172391000006113,"Diffuse non-Hodgkin's lymphoma, small cleaved cell"
4172421000006117,"Diffuse non-Hodgkin's lymphoma, small cell"
4172411000006113,"Diffuse non-Hodgkin's lymphoma, small cell (clinical)"
4172431000006119,"Diffuse non-Hodgkin lymphoma, small cell"
4172441000006112,"Diffuse non-Hodgkin's lymphoma, large cell (clinical)"
1668101000000112,Diffuse non-Hodgkin's large cell lymphoma
4172491000006115,"Diffuse non-Hodgkin lymphoma, large cell"
4172461000006111,Diffuse malignant lymphoma - large cell
4172471000006116,Malignant lymphoma - large cell cleaved and non-cleaved
4172501000006111,"Lymphoma, diffuse large B cell, non Hodgkins"
4172481000006118,"Diffuse non-Hodgkin's lymphoma, large cell"
4172451000006114,Diffuse malignant lymphoma - histiocytic
4172531000006115,"Follicular non-Hodgkin's lymphoma, small cleaved cell"
4172551000006110,"Follicular lymphoma, grade 1"
4172521000006118,"Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)"
4172541000006113,"Follicular non-Hodgkin lymphoma, small cleaved cell"
4172601000006112,"Follicular non-Hodgkin's lymphoma, large cell (clinical)"
4172631000006116,Follicular lymphoma grade 3
4172611000006110,"Follicular non-Hodgkin's lymphoma, large cell"
4172621000006119,"Follicular non-Hodgkin lymphoma, large cell"
4172641000006114,T-zone lymphoma (clinical)
344657018,T-zone lymphoma
4172681000006115,Lennert's lymphoma
4172661000006113,Lymphoepithelioid lymphoma (clinical)
344670010,Lymphoepithelioid lymphoma
2659756011,Peripheral T-cell lymphoma
4172691000006117,Peripheral T-cell lymphoma (clinical)
11902611000006112,T-cell lymphoma (clinical)
207325017,T-cell lymphoma
11903061000006113,B-cell lymphoma (clinical)
4172741000006115,B-cell lymphoma
4179991000006118,"Lymphoma, metastatic"
4179981000006116,"Malignant lymphoma, metastatic"
4206611000006118,Lymphoma stage III 1
