SNOMEDCTCodes,Description
404104001,Lymphomatoid papulosis type B - mycosis fungoides-like (disorder)
702444009,Autoimmune lymphoproliferative syndrome (disorder)
1197361002,Autoimmune lymphoproliferative syndrome due to cytotoxic T-lymphocyte associated protein 4 haploinsufficiency (disorder)
723508002,RAS-associated autoimmune leukoproliferative disease (disorder)
722290008,Autoimmune lymphoproliferative syndrome with recurrent viral infection (disorder)
277466009,Lymphoproliferative disorder (disorder)
20991001,Atypical lymphoproliferative disorder (disorder)
207036003,Castleman's disease (disorder)
127213008,"Angiofollicular lymph node hyperplasia, hyaline-vascular type (disorder)"
127214002,"Angiofollicular lymph node hyperplasia, plasma cell type (disorder)"
125574005,Angiolymphoid hyperplasia with eosinophilia (disorder)
714460000,Castleman disease co-occurrent with infection caused by Human herpesvirus 8 (disorder)
1259049004,Castleman disease with immunoglobulin M monoclonal gammopathy of uncertain significance (disorder)
399945005,"Castleman's superficial pseudotumor, involving skin (disorder)"
1156784009,Localized Castleman disease (disorder)
1156805003,Multicentric Castleman disease (disorder)
787125004,Germinotropic lymphoproliferative disorder caused by Human herpesvirus 8 (disorder)
44274007,Lymphoid interstitial pneumonitis (disorder)
127217009,Histiocytic necrotizing lymphadenitis (disorder)
127215001,Progressively transformed germinal centers (disorder)
34287003,Rosai-Dorfman disease (disorder)
128871009,Virus-associated atypical lymphoproliferative disorder (disorder)
77121009,X-linked lymphoproliferative syndrome (disorder)
1162828001,X-linked lymphoproliferative disease due to SH2D1A deficiency (disorder)
1162830004,X-linked lymphoproliferative disease due to XIAP deficiency (disorder)
771309000,Autosomal recessive lymphoproliferative disease (disorder)
721093000,Dianzani autoimmune lymphoproliferative disease (disorder)
1153397003,Hydroa vacciniforme-like cutaneous T-cell lymphoma (disorder)
763719001,Hydroa vacciniforme-like lymphoma (disorder)
783150002,Iatrogenic immunodeficiency-associated lymphoproliferative disorder (disorder)
771073006,Lymphoproliferative disorder caused by methotrexate (disorder)
722958008,Infectious mononucleosis-like post-transplant lymphoproliferative disorder (disorder)
722957003,Reactive plasmacytic hyperplasia post-transplant lymphoproliferative disorder (disorder)
239940004,Lymphomatoid granulomatosis (disorder)
239297008,Lymphomatoid granulomatosis of lung (disorder)
789690008,Malignant lymphomatoid granulomatosis of lung (disorder)
878858004,Malignant lymphomatoid granulomatosis grade 3 of lung (disorder)
109980005,Malignant immunoproliferative disease (disorder)
68979007,Heavy chain disease (disorder)
109982002,Alpha heavy chain disease (disorder)
123313007,"Alpha heavy chain disease, enteric form (disorder)"
25050002,"Alpha heavy chain disease, respiratory form (disorder)"
109984001,Gamma heavy chain disease (disorder)
148041000146104,Heavy chain deposition disease (disorder)
61493004,Mu heavy chain disease (disorder)
109985000,Immunoproliferative small intestinal disease (disorder)
717780007,Monoclonal B-cell lymphocytosis (disorder)
786855003,Monoclonal B-cell lymphocytosis chronic lymphocytic leukemia-type (disorder)
783211008,Non-chronic lymphocytic leukemia monoclonal B-cell lymphocytosis (disorder)
55081009,T-gamma lymphoproliferative disease (morphologic abnormality)
724648008,Plasmablastic lymphoma (disorder)
277606000,Lymphoreticular tumor (disorder)
22197008,Burkitt cell leukemia (morphologic abnormality)
128824003,T-lymphoblastic leukemia (morphologic abnormality)
404136008,Aggressive natural killer-cell leukemia involving skin (disorder)
721310007,Aggressive natural killer-cell leukemia (morphologic abnormality)
92814006,"Chronic lymphoid leukemia, disease (disorder)"
277474005,B-cell chronic lymphocytic leukemia variant (disorder)
277619001,B-cell prolymphocytic leukemia (disorder)
725437002,Chronic lymphocytic leukemia genetic mutation variant (disorder)
863741000000108,Clinical stage A chronic lymphocytic leukaemia (disorder)
863761000000109,Clinical stage B chronic lymphocytic leukaemia (disorder)
863781000000100,Clinical stage C chronic lymphocytic leukaemia (disorder)
277568007,Hairy cell leukemia variant (disorder)
277550009,Richter's syndrome (disorder)
430338009,Smoldering chronic lymphocytic leukemia (disorder)
118613001,Hairy cell leukemia (disorder)
307341004,Atypical hairy cell leukemia (disorder)
93151007,Hairy cell leukemia of spleen (disorder)
404139001,Leukemic infiltration of skin in hairy-cell leukemia (disorder)
93144003,Leukemic reticuloendotheliosis of intra-abdominal lymph nodes (disorder)
93145002,Leukemic reticuloendotheliosis of intrapelvic lymph nodes (disorder)
93146001,Leukemic reticuloendotheliosis of intrathoracic lymph nodes (disorder)
188648000,Leukemic reticuloendotheliosis of lymph nodes of axilla and upper limb (disorder)
188645002,"Leukemic reticuloendotheliosis of lymph nodes of head, face and neck (disorder)"
188649008,Leukemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb (disorder)
93150008,Leukemic reticuloendotheliosis of lymph nodes of multiple sites (disorder)
277569004,Large granular lymphocytic leukemia (disorder)
699818003,T-cell large granular lymphocytic leukemia (disorder)
110006004,Prolymphocytic leukemia (disorder)
277549009,Chronic lymphocytic prolymphocytic leukemia syndrome (disorder)
277567002,T-cell prolymphocytic leukemia (disorder)
789743002,Monoclonal B-cell lymphocytosis non-chronic lymphocytic leukemia type (morphologic abnormality)
1163043007,Malignant lymphoma (morphologic abnormality)
128798004,Composite Hodgkin and non-Hodgkin lymphoma (morphologic abnormality)
1163005009,Hodgkin lymphoma (morphologic abnormality)
762691001,Classical Hodgkin lymphoma (morphologic abnormality)
836277009,Hodgkin granuloma (morphologic abnormality)
112687003,"Hodgkin lymphoma, lymphocyte depletion (morphologic abnormality)"
16893006,"Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis (morphologic abnormality)"
71109004,"Hodgkin lymphoma, lymphocyte depletion, reticular (morphologic abnormality)"
128799007,"Hodgkin lymphoma, lymphocyte-rich (morphologic abnormality)"
41529000,"Hodgkin lymphoma, mixed cellularity (morphologic abnormality)"
52248008,"Hodgkin lymphoma, nodular sclerosis (morphologic abnormality)"
39086001,"Hodgkin lymphoma, nodular sclerosis, cellular phase (morphologic abnormality)"
45572000,"Hodgkin lymphoma, nodular sclerosis, grade 1 (morphologic abnormality)"
836276000,Hodgkin sarcoma (morphologic abnormality)
43985008,"Hodgkin lymphoma, nodular sclerosis, grade 2 (morphologic abnormality)"
70600005,"Hodgkin lymphoma, nodular lymphocyte predominance (morphologic abnormality)"
110459008,"Malignant lymphoma, metastatic (morphologic abnormality)"
445925008,Lymphomatous infiltration (morphologic abnormality)
1172592001,Non-Hodgkin lymphoma (morphologic abnormality)
314922006,B-cell lymphoma morphology (morphologic abnormality)
