MedCodeID,Description
2729221000000115,Major injury involving multiple body areas
2729231000000118,Major injury involving multiple body regions
2729211000000114,Major trauma involving multiple body regions
2707681000006112,Bilateral traumatic amputation of legs at any level with complication
2816321000006119,Crushing injury (morphology)
2816351000006111,Pressure injury
2816331000006116,Compression injury
2816341000006114,Crush injury
2816361000006113,Crushing injury
321263012,Traumatic amputation of ear
321804011,Traumatic bilateral amputation of leg with complication
321808014,Traumatic amputation of limb
322881019,Traumatic amputation of part of thorax
322882014,Traumatic amputation of external genital organs
92571000006113,"Traumatic amputation/one hand+other arm [any level,exc hnd]"
325494018,"[X]Multiple traumatic amputations, unspecified"
92561000006118,"Traumatic amputation/1 foot and other leg [any lev,exc foot]"
92221000006114,Traumatic amputation of upper and lower limbs
325273019,Traumatic amputations involving multiple body regions
684121000006119,MVTA-unspecified - occ animal-drawn vehicle/rider injured
326615015,"Motor vehicle traffic accident, unspecified"
664711000006112,Fall in road vehicle NEC - pedestrian injured
697901000006117,Motor vehicle collision NOS - motor vehicle passenger inj
614211000006118,Derailment of road veh NEC - pedestrian injured
614191000006119,Derailment of road veh NEC - occupant of tram injured
900331000006113,Motor vehicle accident
326099011,Motor vehicle collision NOS - motor vehicle driver injured
4874581000006118,MVTA - Motor vehicle traffic accident
326626014,Motor vehicle traffic accident NOS
326103018,Motor vehicle collision NOS - occupant of tram injured
326614016,Motor vehicle traffic accident of unspecified nature
539851000006115,Caught in door of road veh NEC - pedestrian injured
665341000006111,Fall on road vehicle NEC - pedestrian injured
664401000006116,Fall from road vehicle NEC - pedestrian injured
440321000006117,Acc board/alight road veh NEC - occupant of tram injured
420121000006116,"[X]Person injured in unspecified motor-vehicle accident, traffic"
326105013,Motor vehicle collision NOS - pedal cyclist injured
684101000006112,MVTA-unspecified - motor vehicle driver injured
664691000006114,Fall in road vehicle NEC - occupant of tram injured
326101016,Motor vehicle collision NOS - motor cyclist injured
326107017,Motor vehicle collision NOS - other specified person inj
684171000006118,MVTA-unspecified - unspecified person injured
684141000006114,MVTA-unspecified - other specified person injured
696971000006113,Motor vehicle collision NOS - occ animal-drawn veh/rider inj
665321000006116,Fall on road vehicle NEC - occupant of tram injured
684131000006116,MVTA-unspecified - occupant of tram injured
326108010,Motor vehicle collision NOS - unspecified person injured
25361000006114,Other noncollision MVTA involving motor vehicle in motion
825491000006110,Hit by object in road veh NEC - occupant of tram injured
440341000006112,Acc board/alight road veh NEC - pedestrian injured
440391000006115,Acc-breakage of part of RV NEC - pedestrian injured
697741000006118,Motor vehicle collision NOS - motor cycle passenger injured
684111000006110,MVTA-unspecified - motor vehicle passenger injured
664381000006116,Fall from road vehicle NEC - occupant of tram injured
684151000006111,MVTA-unspecified - pedal cyclist injured
684091000006118,MVTA-unspecified - motor cyclist injured
697351000006117,Motor vehicle traffic accident
4874571000006116,MVA - Motor vehicle accident
676261000006119,MVTA-inj by veh moving part - motor cyclist injured
684081000006116,MVTA-unspecified - motor cycle passenger injured
685151000006112,MVTA+train collision unspec - occupant of tram injured
685171000006119,MVTA+train collision unspec - pedal cyclist injured
4874591000006115,Motor vehicle on road in collision with train
685141000006110,MVTA+train collision unspec - occ animal-drawn veh/rider inj
688191000006114,"MVTA involving collision with train, unspecified"
281301000006111,MVTA+train collision NOS - pedestrian injured
685081000006117,MVTA+train collision NOS - occ animal-drawn veh/rider inj
685101000006113,MVTA+train collision NOS - other specified person injured
685071000006115,MVTA+train collision NOS - motor vehicle passenger injured
688171000006113,MVTA involving collision with train
685111000006111,MVTA+train collision NOS - pedal cyclist injured
685191000006118,MVTA+train collision unspec - unspecified person injured
686121000006113,MVTA+train collision unspec - motor cycle passenger injured
685061000006110,MVTA+train collision NOS - motor vehicle driver injured
685051000006113,MVTA+train collision NOS - motor cyclist injured
685121000006115,MVTA+train collision unspec - motor vehicle driver injured
685041000006111,MVTA+train collision NOS - motor cycle passenger injured
686131000006111,MVTA+train collision unspec - motor cyclist injured
688181000006111,MVTA involving collision with train NOS
685181000006116,MVTA+train collision unspec - pedestrian injured
686111000006117,MVTA+train collision NOS - unspecified person injured
685091000006119,MVTA+train collision NOS - occupant of tram injured
685131000006117,MVTA+train collision unspec - motor vehicle passenger inj
685161000006114,MVTA+train collision unspec - other specified person injured
688921000006110,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle
687291000006116,MVTA+collision+parked MV - pedal cyclist injured
4874621000006118,Motor vehicle on road in collision with parked motor vehicle
688151000006115,MVTA involving collision with parked motor vehicle
687311000006117,MVTA+collision+parked MV - unspecified person injured
687281000006119,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, other specified person injured"
687261000006112,MVTA+collision+parked MV - occ animal-drawn veh/rider inj
687271000006117,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, occupant of tram injured"
687231000006115,MVTA+collision+parked MV - motor cyclist injured
687241000006113,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, driver of motor vehicle injured"
687251000006110,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, passenger of motor vehicle injured"
687221000006118,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, passenger on motor cycle injured"
687301000006115,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, pedestrian injured"
686341000006115,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, rider of animal or occupant of animal-drawn vehicle injured"
686361000006116,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, other specified person injured"
688161000006118,MVTA involving collision with stopped motor vehicle
687031000006113,Motor vehicle on road in collision with stopped motor vehicle
686391000006112,MVTA+collision+stopped MV - unspecified person injured
687041000006115,MVTA+collision+stopped MV - motor vehicle passenger inj
686971000006112,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, other specified person injured"
686351000006118,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, occupant of tram injured"
687021000006110,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, motor cyclist injured"
687011000006119,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, passenger on motor cycle injured"
686371000006111,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, pedal cyclist injured"
686381000006114,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, pedestrian injured"
687001000006117,MVTA+collision+stalled MV - unspecified person injured
688251000006111,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled"
686961000006117,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, occupant of tram injured"
686931000006114,MVTA+collision+stalled MV - motor vehicle driver injured
686951000006119,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, rider of animal or occupant of animal-drawn vehicle injured"
4874801000006112,Motor vehicle on road in collision with stalled motor vehicle
4874811000006110,Motor vehicle on road in collision with broken down motor vehicle
686911000006115,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, passenger on motor cycle injured"
686981000006110,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, pedal cyclist injured"
686991000006113,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, pedestrian injured"
687601000006114,Motor vehicle on road in collision with disabled motor vehicle
687631000006118,MVTA+collision+disabled MV - unspecified person injured
4874901000006118,Motor vehicle on road in collision with disabled motor vehicle
688851000006110,MVTA involving collision with disabled motor vehicle
687611000006112,MVTA+collision+disabled MV - pedal cyclist injured
687571000006119,MVTA+collision+disabled MV - motor vehicle passenger inj
687561000006114,"Motor vehicle traffic accident involving collision with another motor vehicle, disabled, driver of motor vehicle injured"
687551000006112,"Motor vehicle traffic accident involving collision with another motor vehicle, disabled, motor cyclist injured"
687541000006110,"Motor vehicle traffic accident involving collision with another motor vehicle, disabled, passenger on motor cycle injured"
687591000006118,"Motor vehicle traffic accident involving collision with another motor vehicle, disabled, occupant of tram injured"
687581000006116,"Motor vehicle traffic accident involving collision with another motor vehicle, disabled, rider of animal or occupant of animal-drawn vehicle injured"
