SNOMEDCTCodes,Description
32230006,Malabsorption syndrome (disorder)
235728001,Autoimmune enteropathy (disorder)
722288007,Autoimmune enteropathy and endocrinopathy with susceptibility to chronic infection syndrome (disorder)
724276006,"X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome (disorder)"
44332000,Bile acid malabsorption syndrome (disorder)
86941000,Bile acid malabsorption syndrome type I (disorder)
59285001,Bile acid malabsorption syndrome type II (disorder)
91465007,Bile acid malabsorption syndrome type III (disorder)
1197667008,Secondary bile acid malabsorption (disorder)
77225009,Blind loop syndrome (disorder)
253791005,Congenital blind loop syndrome (disorder)
54883000,Postoperative blind loop syndrome (disorder)
235723005,Chemically-induced malabsorption (disorder)
27868004,Chronic steatorrhea (disorder)
711499009,Collagenous gastritis (disorder)
1220591004,Pediatric collagenous gastritis (disorder)
722392003,Congenital malabsorptive diarrhea due to paucity of enteroendocrine cells (disorder)
235729009,Congenital microvillous atrophy (disorder)
235730004,Familial absence of villi (disorder)
450849003,Congenital monosaccharide malabsorption (disorder)
27943000,Congenital glucose-galactose malabsorption (disorder)
24412005,"Congenital secretory diarrhea, chloride type (disorder)"
36261000,Drug-induced malabsorption (disorder)
713505000,Gastrointestinal malabsorption syndrome co-occurrent with human immunodeficiency virus infection (disorder)
420321004,Intestinal malabsorption with acquired immunodeficiency syndrome (disorder)
22169002,Intestinal disaccharidase deficiency (disorder)
78373000,Sucrase-isomaltase deficiency (disorder)
56661000,Intestinal enteropeptidase deficiency (disorder)
197476001,Intestinal malabsorption (disorder)
717186009,Intestinal malabsorption due to bile acid synthesis defect (disorder)
197491004,Intestinal malabsorption of carbohydrate (disorder)
235720008,Malabsorption due to intolerance to carbohydrate (disorder)
197494007,Intestinal malabsorption of fat (disorder)
303062005,Malabsorption due to intolerance to fat (disorder)
197490003,Intestinal malabsorption of protein (disorder)
302921006,Malabsorption due to intolerance to protein (disorder)
197493001,Malabsorption caused by intolerance to soy protein (disorder)
804161000000109,Malabsorption due to intolerance to cow milk protein (disorder)
197495008,Malabsorption - iron (disorder)
235725003,Malabsorption caused by infective agent (disorder)
41545003,Whipple's disease (disorder)
733148009,Duodenitis caused by Tropheryma whipplei (disorder)
230194002,Neuro - Whipple's disease (disorder)
201517005,Seronegative arthritis secondary to Whipple's disease (disorder)
77147000,Malabsorption in the elderly (disorder)
785704008,Malabsorption syndrome due to acquired intolerance to fructose (disorder)
785696007,Malabsorption syndrome due to intolerance to lactose (disorder)
735718000,Neonatal malabsorption co-occurrent and due to gastrointestinal hormone-secreting endocrine tumor (disorder)
61738006,Non-gluten sensitive enteropathy syndrome (disorder)
38032004,Nonpersistence of intestinal lactase (disorder)
302920007,Pancreatic malabsorption (disorder)
69478001,Pancreatic colipase deficiency (disorder)
54576000,Pancreatic steatorrhea (disorder)
235733002,Postprocedural pancreatic steatorrhea (disorder)
78960005,Pancreatic triacylglycerol lipase deficiency (disorder)
235727006,Post-infective malabsorption (disorder)
266480006,Post-surgical malabsorption (disorder)
235724004,Acquired short bowel syndrome (disorder)
53156005,Postcholecystectomy diarrhea (disorder)
880001008,Protein losing enteropathy due to and following cardiac procedure (disorder)
235731000,Postprocedural steatorrhea (disorder)
235732007,Postprocedural intestinal steatorrhea (disorder)
235722000,Primary malabsorption of infancy (disorder)
66972006,Protein-losing enteropathy (disorder)
773579007,Congenital chronic diarrhea with protein-losing enteropathy (disorder)
26629001,Short bowel syndrome (disorder)
715201005,Congenital short bowel syndrome (disorder)
1217373008,"Diaphragmatic hernia, short bowel, asplenia syndrome (disorder)"
81704009,Sprue (disorder)
47384003,Tropical sprue (disorder)
359653006,Unclassified sprue (disorder)
735618008,Osteoporosis due to malabsorption (disorder)
203446005,Pathological fracture co-occurrent and due to post-surgical malabsorption osteoporosis (disorder)
203434006,Post-surgical malabsorption osteoporosis (disorder)
328313007,Protein malabsorption (disorder)
24754009,Isolated familial intestinal hypomagnesemia (disorder)
37702000,Hereditary acrodermatitis enteropathica (disorder)
95387005,Injection site malabsorption (disorder)
62578003,Congenital defect of folate absorption (disorder)
45812003,Familial methionine malabsorption (disorder
59531002,Tryptophan malabsorption syndrome (disorder)
191146005,Congenital folate malabsorption anemia (disorder)
190645001,Adult osteomalacia due to malabsorption (disorder)
89454001,Shwachman syndrome (disorder)
1148929009,Deficiency of coagulation factor due to vitamin K malabsorption (disorder)
191142007,Vitamin B12 deficiency anemia due to malabsorption with proteinuria (disorder)
26333003,Megaloblastic anemia due to vitamin B>12< malabsorption with proteinuria (disorder)
191149003,Folate deficiency anemia due to malabsorption (disorder)
1148930004,Deficiency of coagulation factor due to vitamin K malabsorption in obstructive biliary disease (disorder)
