MedCodeID,Description
293026010,Adult osteomalacia due to malabsorption
62031000006117,Vitamin B12 deficiency anaemia due to malabsorption with proteinuria
4761061000006112,Vitamin B12 deficiency anemia due to malabsorption with proteinuria
293925011,Congenital folate malabsorption anaemia
4761081000006119,Congenital folate malabsorption anemia
763251000006112,Folate-deficiency anaemia due to malabsorption
4761121000006117,Folate deficiency anemia due to malabsorption
4761111000006113,Folate deficiency anaemia due to malabsorption
303721014,Intestinal malabsorption NOS
303798011,[X]Other intestinal malabsorption
303703011,Other intestinal malabsorption
303668012,Intestinal malabsorption
303709010,Intestinal malabsorption of protein
303710017,Intestinal malabsorption of carbohydrate
293811014,[X]Other disorders of intestinal carbohydrate absorption
4788091000006110,Malabsorption due to intolerance to soy protein
4788081000006112,Malabsorption caused by intolerance to soya protein
132411000006119,Malabsorption due to intolerance to soya protein
4788101000006116,Malabsorption caused by intolerance to soy protein
303713015,Intestinal malabsorption of fat
303714014,Malabsorption - iron
4808231000006119,Seronegative arthritis secondary to Whipple's disease
309518017,Arthropathy in Whipple's disease
493001000006113,Arthropathy in Whipple's disease
4808241000006112,Whipple's arthralgia
4808261000006111,Seronegative arthritis secondary to Whipple disease
4820831000006110,Post-surgical malabsorption osteoporosis
212431000006119,Postsurgical malabsorption osteoporosis
212441000006112,Post-surgical malabsorption osteoporosis with pathological fracture
398847012,Intestinal disaccharidase deficiency NOS
37216010,Intestinal disaccharidase deficiency
2853151000006114,Disaccharide malabsorption
5004771000006112,Encephalopathy in Whipple disease
5004761000006117,Neuro - Whipple's disease
5004781000006110,Neuro - Whipple disease
5084631000006116,Malabsorption caused by intolerance to carbohydrate
5084621000006119,Malabsorption due to intolerance to carbohydrate
5084641000006114,Primary malabsorption of infancy
5084651000006111,Chemically-induced malabsorption
3537385016,Post-resection short bowel syndrome
353368011,Acquired short bowel syndrome
5084661000006113,Malabsorption due to infective agent
5084671000006118,Malabsorption caused by infective agent
5084761000006116,Post-infective malabsorption
5084771000006111,PIM - Post-infective malabsorption
5084781000006114,Autoimmune enteropathy
5084801000006113,Davidson disease
5084791000006112,Congenital microvillous atrophy
5084811000006111,Familial absence of villi
5084831000006117,Postprocedural steatorrhea
5084821000006115,Postprocedural steatorrhoea
5084851000006112,Postprocedural intestinal steatorrhea
5084841000006110,Postprocedural intestinal steatorrhoea
5084871000006119,Postprocedural pancreatic steatorrhea
5084861000006114,Postprocedural pancreatic steatorrhoea
2889561000006111,Congenital chloridorrhea
2889551000006114,"Congenital secretory diarrhea, chloride type"
2889541000006112,"Congenital secretory diarrhoea, chloride type"
2889581000006118,Congenital chloridorrhoea
