V2Codes,Description
1471,H/O: meningitis
A721.,Mumps meningitis
A206.,Plague meningitis
AB2y2,Candidal meningitis
F2924,Chemical meningitis
F00..,Bacterial meningitis
F000.,Haemophilus meningitis
F001.,Pneumococcal meningitis
F002.,Streptococcal meningitis
F003.,Staphylococcal meningitis
F004.,Meningitis - tuberculous
F005.,Meningitis - meningococcal
F007.,Meningitis in other bacterial disease classified elsewhere
F0070,Meningitis due to gonococcus
F0071,Meningitis due to listeriosis
F0072,Meningitis due to neurosyphilis
F0073,Meningitis due to salmonella
F0074,Meningitis due to congenital syphilis
F0075,Meningitis due to secondary syphilis
F0076,Meningitis due to typhoid fever
F0077,Meningitis due to actinomycosis
F0078,Meningitis due to pertussis
F007z,Unspecified meningitis in bacterial disease EC
F00y.,Other specified bacterial meningitis
F00y0,Meningitis due to aerobacter aerogenes
F00y1,Meningitis due to bacillus pyocyaneus
F00y2,Meningitis due to escherichia coli
F00y3,Meningitis due to Friedlander bacillus
F00y4,Meningitis due to klebsiella pneumoniae
F00y5,Meningitis due to proteus morganii
F00y6,Meningitis due to pseudomonas
F00yz,Other specified bacterial meningitis NOS
F00z.,Bacterial meningitis NOS
A942.,Syphilitic meningitis
A98y1,Gonococcal meningitis
A0221,Salmonella meningitis
AA0y0,Leptospiral meningitis
A130.,Tuberculous meningitis
A1300,Tuberculosis of cerebral meninges
A1301,Tuberculosis of spinal meninges
A1302,Tuberculous leptomeningitis
A1303,Tuberculous meningoencephalitis
A130z,Tuberculous meningitis NOS
AB32.,Coccidioidal meningitis
A360.,Meningococcal meningitis
A54x1,Herpes simplex meningitis
A530.,Herpes zoster with meningitis
A42..,Meningitis due to enterovirus
A420.,Coxsackie viral meningitis
A421.,ECHO viral meningitis
A42y.,Other specified viral meningitis
A42z.,Viral meningitis NOS
F02..,Meningitis of unspecified cause
F020.,Nonpyogenic meningitis
F021.,Eosinophilic meningitis
F022.,Chronic meningitis
F023.,Arachnoiditis
F024.,Benign recurrent meningitis
F02z.,Unspecified meningitis
A9042,Congenital syphilitic meningitis
A553.,Measles complicated by meningitis
F01..,Meningitis due to other organisms
F010.,Meningitis due to fungal organisms
F0100,Meningitis due to cryptococcus
F010z,Other fungal meningitis
F011.,Meningitis due to viral organisms EC
F0110,Meningitis due to coxsackie virus
F0111,Meningitis due to ECHO virus
F0112,Meningitis due to herpes zoster virus
F0113,Meningitis due to herpes simplex virus
F0114,Meningitis due to mumps virus
F0115,Meningitis due to lymphocytic choriomeningitis virus
F0116,Meningitis due to adenovirus
F0117,Varicella meningitis
F011y,Other viral meningitis
F011z,Meningitis - viral NOS
F012.,Meningitis due to trypanosomiasis
F013.,Meningitis due to sarcoidosis
F01y.,Other non-bacterial meningitis
F01y0,Meningitis due to leptospira
F01yz,Other non-bacterial meningitis NOS
F01z.,Meningitis due to organism NOS
AB411,Histoplasma duboisii with meningitis
A9180,Acute secondary syphilitic meningitis
AB401,Histoplasma capsulatum with meningitis
A543.,Herpetic meningoencephalitis
AD00.,Toxoplasma meningoencephalitis
F03X.,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
A366.,Meningococcal meningitis with meningococcal septicaemia
