SNOMEDCTCodes,Description
37796009,Migraine (disorder)
95653008,Acute confusional migraine (disorder)
145611000119107,Allergic migraine (disorder)
95657009,Chronic mixed headache syndrome (disorder)
193039006,Complicated migraine (disorder)
26150009,Lower half migraine (disorder)
23186000,Menstrual migraine (disorder)
124081000119107,Menstrual status migrainosus (disorder)
711545001,Migraine caused by estrogen contraceptive (disorder)
781381000000100,Migraine induced by oestrogen contraceptive (disorder)
193030005,Migraine variants (disorder)
445322004,Migraine variant with headache (disorder)
424699007,"Migraine variants, not intractable (disorder)"
425365009,Refractory migraine variants (disorder
4473006,Migraine with aura (disorder)
83351003,Basilar migraine (disorder)
59292006,Hemiplegic migraine (disorder)
95656000,Familial hemiplegic migraine (disorder)
230464001,Non-familial hemiplegic migraine (disorder)
230465000,Migraine aura without headache (disorder)
699314009,Migraine with persistent visual aura (disorder)
230462002,Migraine with typical aura (disorder)
95655001,Ophthalmic migraine (disorder)
425936006,Intractable ophthalmic migraine (disorder)
423683008,Refractory migraine with aura (disorder
230468003,Migraine with ischemic complication (disorder)
56097005,Migraine without aura (disorder)
124171000119105,"Migraine without aura, not refractory (disorder)"
423279000,Refractory migraine without aura (disorder)
124001000119104,Status migrainosus co-occurrent and due to migraine without aura (disorder)
9605003,Ophthalmoplegic migraine (disorder)
423894005,Refractory migraine (disorder)
79267007,Retinal migraine (disorder)
230467008,Status migrainosus (disorder)
724429004,Stroke co-occurrent with migraine (disorder)
427419006,Transformed migraine (disorder)
24171000119105,Chronic intractable migraine without aura (disorder)
61481007,History of migraine (situation)
608837004,History of migraine with aura (situation)
232284007,Migrainous vertigo (disorder)
773908008,Migraine prophylaxis therapeutic role (role)
162040008,Abdominal migraine - symptom (finding)
