V2Codes,Description
F26..,Migraine
F260.,Classical migraine
F261.,Common migraine
F2610,Atypical migraine
F261z,Common migraine NOS
F262.,Migraine variants
F2623,Basilar migraine
F2624,Ophthalmic migraine
F2628,Migraine induced by oestrogen contraceptive
F262z,Migraine variant NOS
F26y.,Other forms of migraine
F26y0,Hemiplegic migraine
F26y1,Ophthalmoplegic migraine
F26y2,Status migrainosus
F26y3,Complicated migraine
F26yz,Other forms of migraine NOS
F26z.,Migraine NOS
1474.,H/O: migraine
14740,H/O migraine with aura
K584.,Migraine - menstrual
8B6N.,Migraine prophylaxis
