MedCodeID,Description
4409351000006115,Plaque morphea
4409341000006117,"Morphea, plaque form"
4409331000006110,Plaque morphoea
4409381000006111,Diffuse cutaneous systemic sclerosis
4409401000006111,"Systemic sclerosis, diffuse"
4409371000006113,Diffuse scleroderma
4409391000006114,Diffuse cutaneous scleroderma
4409361000006118,Diffuse systemic sclerosis
4806501000006113,Localized scleroderma
4806471000006118,Morphea scleroderma
4806491000006117,Addison's keloid
308864014,Localised dermatosclerosis
4806541000006110,Localised morphoea
308859010,Circumscribed scleroderma
4806511000006111,Localized morphea
4806461000006113,Localized dermatosclerosis
308855016,Unspecified circumscribed scleroderma
4806521000006115,Morphoea scleroderma
4806451000006111,Localised scleroderma
308871016,Circumscribed scleroderma NOS
308860017,Addison's keloid
308867019,Morphoea
4806561000006114,Morphea
481428012,Linear morphoea
38247018,Linear scleroderma
2863061000006117,Linear morphea
6682411000006110,Guttate morphea
6682401000006112,Guttate morphoea
6682421000006119,Subcutaneous morphoea
6682431000006116,Subcutaneous morphea
6682441000006114,Disabling pansclerotic morphoea of children
6682451000006111,Disabling pansclerotic morphea of children
6682471000006118,Pseudoscleroderma
6682461000006113,Scleroderma-like secondary cutaneous sclerosis
3329051000006116,Coup de sabre scleroderma
3329071000006114,Morphea en coup de sabre
3329061000006119,Morphoea en coup de sabre
2619411000006117,Generalized scleroderma
2619371000006118,"Circumscribed scleroderma, generalized type"
2619361000006113,Generalised morphoea
2619401000006115,Generalised scleroderma
2619381000006115,Generalized morphea
2619391000006117,"Circumscribed scleroderma, generalised type"
