V2Codes,Description
C04..,Acquired hypothyroidism
C045.,Acquired atrophy of thyroid
C046.,Autoimmune myxoedema
C04y.,Other acquired hypothyroidism
C04z.,Hypothyroidism NOS
C04z0,Premature puberty due to hypothyroidism
C04z1,Myxoedema coma
C05y.,Other and unspecified chronic thyroiditis
F3953,Myopathy due to myxoedema
F1441,Cerebellar ataxia due to myxoedema
F11x5,Cerebral degeneration due to myxoedema
1432,H/O: hypothyroidism
66BB.,Hypothyroidism annual review
9Oj..,Hypothyroidism monitoring administration
9Oj0.,Hypothyroidism monitoring first letter
9Oj1.,Hypothyroidism monitoring second letter
9Oj2.,Hypothyroidism monitoring third letter
9Oj3.,Hypothyroidism monitoring verbal invite
9Oj4.,Hypothyroidism monitoring telephone invitation
F3814,Myasthenic syndrome due to hypothyroidism
