CTV3Codes,Description
Xa8Pc,Oophorectomy
Xa8Pa,Salpingo-oophorectomy
7E100.,Bilateral salpingo-oophorectomy
Xa8PX,Unilateral salpingo-oophorectomy
7E116.,Right salpingo-oophorectomy
7E117.,Left salpingo-oophorectomy
7E110.,Unilateral salpingo-oophorectomy NEC
7E111.,Salpingo-oophorectomy of remaining solitary fallopian tube and ovary
7E120.,Salpingo-oophorectomy NEC
Xa8PW,Bilateral oophorectomy
7E102.,Bilateral oophorectomy NEC
Xa8PZ,Unilateral oophorectomy
Xa8Pd,Right oophorectomy
7E123.,Right oophorectomy NEC
Xa8Pe,Left oophorectomy
7E124.,Left oophorectomy NEC
XaB2V,Oophorectomy of remaining solitary ovary
7E115.,Oophorectomy of remaining solitary ovary NEC
7E122.,Oophorectomy NEC
Xa3vw,Oophorectomy NOS
7E20.,Partial oophorectomy
7E201.,Excision of lesion of ovary
7E203.,Ovarian cystectomy
7E20y,Other specified partial excision of ovary
7E20z,Partial excision of ovary NOS
XaITj,H/O: bilateral oophorectomy
7E114.,Unilateral oophorectomy NEC
