SNOMEDCTCodes,Description
83152002,Oophorectomy (procedure)
450487000,Laparoscopic excision of ovary (procedure)
608885003,Laparoscopic left oophorectomy (procedure)
609275002,Laparoscopic bilateral oophorectomy (procedure)
609230000,Laparoscopic bilateral salpingo-oophorectomy (procedure)
708816008,Laparoscopic bilateral salpingo-oophorectomy using robotic assistance (procedure)
609274003,Laparoscopic bilateral salpingo-oophorectomy with conversion to laparotomy (procedure)
414575003,Laparoscopic total abdominal hysterectomy and bilateral salpingo-oophorectomy (procedure)
441820006,Laparoscopic-assisted vaginal hysterectomy with bilateral salpingo-oophorectomy (procedure)
609293001,Laparoscopic left oophorectomy after prior right oophorectomy
608888001,Laparoscopic left salpingo-oophorectomy (procedure)
609294007,Laparoscopic right oophorectomy after prior left oophorectomy (procedure)
608889009,Laparoscopic right salpingo-oophorectomy (procedure)
609296009,Laparoscopic right salpingo-oophorectomy after prior left salpingo-oophorectomy (procedure)
446598002,Laparoscopic salpingo-oophorectomy (procedure)
609295008,Laparoscopic left salpingo-oophorectomy after prior right salpingo-oophorectomy (procedure)
446960007,Laparoscopic salpingo-oophorectomy with conversion to laparotomy (procedure)
61893009,Laparoscopic treatment of ectopic pregnancy with oophorectomy (procedure)
302377002,Left oophorectomy (procedure)
76876009,Excision of bilateral ovaries (procedure)
29827000,Excision of bilateral fallopian tubes and ovaries (procedure)
918381000000103,Subtotal abdominal hysterectomy and bilateral salpingo-oophorectomy (procedure)
29529008,Supracervical hysterectomy with removal of both tubes and ovaries (procedure)
86477000,Total hysterectomy with removal of both tubes and ovaries (procedure)
918511000000102,Radical hysterectomy with bilateral salpingo-oophorectomy (procedure)
116144002,Total abdominal hysterectomy with bilateral salpingo-oophorectomy (procedure)
739671004,Total hysterectomy with left oophorectomy (procedure)
739673001,Total hysterectomy with left salpingo-oophorectomy (procedure)
473239006,Excision of bilateral ovaries for malignant neoplasm of ovary (procedure)
29672006,Partial oophorectomy (procedure)
22699007,Partial salpingo-oophorectomy (procedure)
713285002,Prophylactic oophorectomy (procedure)
302376006,Right oophorectomy (procedure)
739672006,Total hysterectomy with right oophorectomy (procedure)
739674007,Total hysterectomy with right salpingo-oophorectomy (procedure)
608887006,Laparoscopic right oophorectomy (procedure)
116028008,Salpingo-oophorectomy (procedure)
176914002,Right salpingo-oophorectomy (procedure)
302190000,Abdominal hysterectomy and right salpingo-oophorectomy (procedure)
918451000000102,Vaginal hysterectomy and right salpingo-oophorectomy (procedure)
918411000000101,Subtotal abdominal hysterectomy and right salpingo-oophorectomy (procedure)
391083006,History of bilateral oophorectomy (situation)
427851004,History of bilateral salpingo-oophorectomy (situation)
429763009,History of total hysterectomy with bilateral salpingo-oophorectomy (situation)
122716009,Specimen from left ovary obtained by oophorectomy (specimen)
309287004,Hysterectomy and bilateral salpingo-oophorectomy specimen (specimen)
122718005,Specimen from left ovary obtained by salpingo-oophorectomy (specimen)
