V2Codes,Description
7E122.,Oophorectomy NEC
7E20.,Partial oophorectomy
7E200.,Excision of wedge of ovary
7E201.,Excision of lesion of ovary
7E202.,Marsupialisation of lesion of ovary
7E203.,Ovarian cystectomy
7E20y,Other specified partial excision of ovary
7E20z,Partial excision of ovary NOS
7E124.,Left oophorectomy NEC
7E123.,Right oophorectomy NEC
7E102.,Bilateral oophorectomy NEC
159B.,H/O: bilateral oophorectomy
7E114.,Unilateral oophorectomy NEC
7E100.,Bilateral salpingoophorectomy
7E115.,Oophorectomy of remaining solitary ovary NEC
7E058.,Vaginal hysterectomy and left salpingo-oophorectomy
7E057.,Vaginal hysterectomy and right salpingo-oophorectomy
7E045.,Abdominal hysterectomy and bilateral salpingoophorectomy
7E04P,Radical hysterectomy with bilateral salpingo-oophorectomy
7E04H,Subtotal abdominal hysterectomy and bilateral salpingo-oophorectomy
7E04K,Subtotal abdominal hysterectomy and left salpingo-oophorectomy
