MedCodeID,Description
54058015,Postmenopausal osteoporosis
4162971000006117,Osteoporotic bone marrow defect
9383781000006116,Pathological fracture of thoracic vertebra due to secondary osteoporosis
9383791000006118,Secondary osteoporotic fracture of thoracic vertebra
9383851000006118,Secondary osteoporotic fracture of lumbar vertebra
9383841000006115,Pathological fracture of lumbar vertebra due to secondary osteoporosis
9383911000006114,Secondary osteoporotic fracture of cervical vertebra
9383901000006111,Pathological fracture of cervical vertebra due to secondary osteoporosis
9383961000006112,Osteoporotic fracture of vertebra
9383951000006110,Pathological fracture of vertebra due to osteoporosis
9384111000006110,Pathological fracture of sacral vertebra due to secondary osteoporosis
9384121000006119,Secondary osteoporotic fracture of sacral vertebra
9384621000006114,Pathological fracture due to secondary osteoporosis
24883018,Drug-induced osteoporosis
2475469012,Posttraumatic osteoporosis
2749641000006119,Posttraumatic osteoporosis
2786171000006119,Type II osteoporosis
30475015,Senile osteoporosis
2786191000006118,Age related osteoporosis
2786181000006116,Involutional osteoporosis
4820801000006119,Idiopathic generalized osteoporosis
786501000006117,Idiopathic generalised osteoporosis
312133010,Postoophorectomy osteoporosis
4820831000006110,Post-surgical malabsorption osteoporosis
212431000006119,Postsurgical malabsorption osteoporosis
312136019,Localised osteoporosis - Lequesne
4820851000006115,Localized osteoporosis - Lequesne
11902571000006119,Osteoporosis in multiple myelomatosis
312138018,Osteoporosis in endocrine disorders
312139014,Vertebral osteoporosis
312156018,Postoophorectomy osteoporosis with pathological fracture
312157010,Osteoporosis of disuse with pathological fracture
212441000006112,Post-surgical malabsorption osteoporosis with pathological fracture
312159013,Drug-induced osteoporosis with pathological fracture
312160015,Idiopathic osteoporosis with pathological fracture
40881000006116,Osteoporosis with pathological fracture of lumbar vertebrae
40891000006118,Osteoporosis with pathological fracture of thoracic vertebrae
40871000006119,Osteoporosis with pathological fracture of cervical vertebrae
312165013,Postmenopausal osteoporosis with pathological fracture
5144151000006116,Idiopathic osteoporosis in pregnancy
5144161000006119,Adult idiopathic generalised osteoporosis
5144171000006114,Adult idiopathic generalized osteoporosis
5144191000006110,Juvenile idiopathic generalized osteoporosis
5144181000006112,Juvenile idiopathic generalised osteoporosis
5144211000006111,Secondary generalized osteoporosis
5144201000006113,Secondary generalised osteoporosis
5144221000006115,Regional migrating osteoporosis
5144231000006117,Transient osteoporosis of hip
5144241000006110,Transient osteoporosis of hip in pregnancy
5144261000006114,Secondary localised osteoporosis
5144271000006119,Secondary localized osteoporosis
5144291000006118,Post-irradiation osteoporosis
455536018,Collapse of vertebra due to osteoporosis
359833013,Osteoporotic vertebral collapse
5337891000006116,Osteoporosis with pseudoglioma
5502961000006113,Localised disuse osteoporosis
5502971000006118,Localized disuse osteoporosis
5588811000006116,Age-related osteoporosis
5588801000006119,Primary osteoporosis
5650941000006111,Regional osteoporosis
5873741000006111,Screening for osteoporosis
5992471000006115,Osteoporosis localized to spine
453226012,Osteoporosis localised to spine
455433012,Collapse of cervical vertebra due to osteoporosis
455534015,Collapse of lumbar vertebra due to osteoporosis
455535019,Collapse of thoracic vertebra due to osteoporosis
3021381000006110,Menopausal osteoporosis
3021391000006113,Type I osteoporosis
3021401000006110,Type 1 osteoporosis
2552271000006117,Idiopathic osteoporosis
1485048012,Follow-up osteoporosis assessment
1485049016,Osteoporosis treatment started
1485050016,Osteoporosis treatment stopped
1485051017,Osteoporosis treatment changed
6517621000006110,Osteoporosis dietary education
1485053019,Osteoporosis - dietary advice
1485055014,Osteoporosis - exercise advice
6517651000006118,Osteoporosis exercise education
1485057018,Osteoporosis - treatment response
1485059015,Osteoporosis - no treatment response
1485061012,Refer to osteoporosis specialist
1485065015,Seen in osteoporosis clinic
1488638010,Health education - osteoporosis
6549131000006116,Osteoporosis health education
2474275011,Referral to osteoporosis clinic
7130271000006114,Pathologic fracture of femur associated with osteoporosis
7130281000006112,Pathological fracture of neck of femur associated with osteoporosis
216206018,Pathological fracture due to osteoporosis
