CTV3Codes,Description
Xa9Bo,BPPV - Benign paroxysmal positional vertigo
F5611,Benign paroxysmal positional vertigo or nystagmus
XaBCM,BPPV - Benign paroxysmal positional vertigo nystagmus
XE17J,Meniere disease
X00jX,Cochlear Meniere syndrome
F5602,Active cochlear Meniere's disease
X00jY,Vestibular Meniere syndrome
F5603,Active vestibular Meniere's disease
F5600,Unspecified Meniere's disease
F5601,Active cochleovestibular Meniere's disease
F560z,Meniere's disease NOS
XM1RI,H/O: Meniere's dis.
XE0q7,H/O: vertigo/Meniere's disease
X00jp,Vestibular neuritis
F5612,Acute vestibular neuronitis
F5613,Recurrent vestibular neuronitis
XA06O,Traumatic perilymph fistula
F563.,Labyrinthitis
F5631,Serous labyrinthitis
F5633,Suppurative labyrinthitis
X00jI,Acute mastoiditis with labyrinthitis
F5635,Viral labyrinthitis
X00k4,Autoimmune disorder of inner ear
F5630,Unspecified labyrinthitis
F5632,Circumscribed labyrinthitis
F563z,Labyrinthitis NOS
XA06I,Injury of inner ear
X00jq,Vestibular trauma
X00jr,Concussive vestibular trauma
X00js,Vestibular barotrauma
X00kB,Cochlear trauma
X00kC,Concussive cochlear trauma
X00kD,Cochlear barotrauma
F5811,Impulsive acoustic trauma
S82w3,Open wound of cochlea with complication
X00k5,Ototoxic degeneration of cochlea
F585.,Disorder of acoustovestibular nerve
F5851,Acoustic nerve degeneration
XE1o5,Injury to acoustic nerve
Xa0Qv,Compression of acoustic nerve
B7F10,Vestibular schwannoma
F5850,Acoustic neuritis
FyuU4,[X]Acoustic neuritis in infectious and parasitic diseases classified elsewhere
F585z,Acoustic nerve disorder NOS
P405z,Inner ear anomalies NOS
Pyu1A,[X]Congenital malformation of inner ear
X00jv,Aplasia of the cochlea and vestibular labyrinth
X00jw,Congenital deformity of labyrinth
Xa0Qr,Incomplete formation of membranous labyrinth
X00jz,Dilatation of the vestibular aqueduct
X00k1,Dilatation of semicircular canal
X70x2,Inner ear decompression injury
X00j3,Cholesteatoma
X00j4,Mastoid cholesteatoma
F5531,Cholesteatoma of attic
F5332,Recurrent cholesteatoma post-mastoidectomy
X00jP,Cholesteatoma pearl
X00j7,Congenital cholesteatoma
F5530,Unspecified cholesteatoma
F5533,Cholesteatoma of middle ear and mastoid
XE17I,Cholesteatoma and aural polyp
F553z,Cholesteatoma of middle ear and mastoid NOS
F5020,Cholesteatoma of external ear
X00j6,Cholesteatoma with complications
F5532,Cholesteatoma of middle ear
XE17K,Ototoxicity - labyrinthine
F5016,Ramsay Hunt syndrome - auricular
F51y0,Eustachian tube dysfunction
X00j2,Barotraumatic Eustachian tube dysfunction
X00an,Cogan syndrome
