V2Codes,Description
A552.,Postmeasles otitis media
F52..,Suppurative and unspecified otitis media
F520.,Acute suppurative otitis media
F5200,Acute suppurative otitis media tympanic membrane intact
F5201,Acute suppurative otitis media tympanic membrane ruptured
F5203,Acute suppurative otitis media due to disease EC
F520z,Acute suppurative otitis media NOS
F521.,"Chronic suppurative otitis media, tubotympanic"
F522.,"Chronic suppurative otitis media, atticoantral"
F523.,Chronic suppurative otitis media NOS
F524.,Purulent otitis media NOS
F5240,Bilateral suppurative otitis media
F525.,Recurrent acute otitis media
F526.,Acute left otitis media
F527.,Acute right otitis media
F528.,Acute bilateral otitis media
F52z.,Otitis media NOS
F51..,Nonsuppurative otitis media + eustachian tube disorders
F510.,Acute non suppurative otitis media
F5100,Acute otitis media with effusion
F5101,Acute serous otitis media
F5102,Acute mucoid otitis media
F5103,Acute sanguinous otitis media
F5104,Acute allergic serous otitis media
F5105,Acute allergic mucoid otitis media
F5106,Acute allergic sanguinous otitis media
F510z,Acute nonsuppurative otitis media NOS
F511.,"Chronic otitis media with effusion, serous"
F5111,Serosanguinous chronic otitis media
F5112,Bilateral chronic serous otitis
F5113,Unilateral chronic serous otitis
F511z,Chronic serous otitis media NOS
F5121,Mucosanguinous chronic otitis media
F512.,"Chronic otitis media with effusion, mucoid"
F512z,Chronic mucoid otitis media NOS
F513.,"Chronic otitis media with effusion, other"
F5130,Chronic allergic otitis media
F5141,Serous otitis media NOS
F5131,"Chronic otitis media with effusion, purulent"
F513z,Other chronic nonsuppurative otitis media NOS
F514.,Unspecified nonsuppurative otitis media
F5140,Allergic otitis media NOS
F5142,Catarrhal otitis media NOS
F5143,Mucoid otitis media NOS
F514z,Nonsuppurative otitis media NOS
F518.,"Chronic otitis media with effusion, unspecified"
F5150,Unspecified eustachian tube salpingitis
F5151,Acute eustachian tube salpingitis
F5152,Chronic eustachian tube salpingitis
F515z,Eustachian tube salpingitis NOS
