SNOMEDCTCodes,Description
65363002,Otitis media (disorder)
3110003,Acute otitis media (disorder)
19399000,Acute exudative otitis media (disorder)
194288009,Acute left otitis media (disorder)
1087981000119103,Acute allergic otitis media of left middle ear (disorder)
1082871000119108,Acute allergic otitis media of bilateral middle ears (disorder)
1088201000119104,Acute allergic serous otitis media of left middle ear (disorder)
8326008,Acute allergic mucoid otitis media (disorder)
1090601000119102,Acute allergic otitis media of right middle ear (disorder)
1090811000119103,Acute allergic serous otitis media of right middle ear (disorder)
17866004,Acute allergic sanguineous otitis media (disorder)
59275002,Acute allergic serous otitis media (disorder)
360595002,Acute necrotizing otitis media (disorder)
1089251000119108,Nonsuppurative otitis media of left middle ear (disorder)
29350000,Catarrhal otitis media (disorder)
85108007,Acute tubotympanic catarrh (disorder)
89145009,Subacute tubotympanic catarrh (disorder)
21186006,Chronic otitis media (disorder)
7699004,Adhesive middle ear disease (disorder)
1088241000119102,Adhesive otitis media of left middle ear (disorder)
1083121000119106,Adhesive otitis media of bilateral middle ears (disorder)
1090851000119102,Adhesive otitis media of right middle ear (disorder)
71958004,Chronic allergic otitis media (disorder)
1088391000119100,Chronic allergic otitis media of left middle ear (disorder)
1091001000119104,Chronic allergic otitis media of right middle ear (disorder)
1083261000119107,Chronic allergic otitis media of bilateral middle ears (disorder)
1088581000119105,Chronic tubotympanic suppurative otitis media of left middle ear (disorder)
15979311000119100,Chronic tubotympanic suppurative otitis media of bilateral middle ears (disorder)
1091191000119106,Chronic tubotympanic suppurative otitis media of right middle ear (disorder)
43561008,Chronic exudative otitis media (disorder)
232254004,Chronic non-suppurative otitis media (disorder)
78868004,Chronic mucoid otitis media (disorder)
1088461000119102,Chronic mucoid otitis media of left middle ear (disorder)
1091071000119109,Chronic mucoid otitis media of right middle ear (disorder)
1083331000119106,Chronic mucoid otitis media of bilateral middle ears (disorder)
232257006,Chronic non-suppurative otitis media without effusion (disorder)
449839003,Chronic otitis media with sanguineous effusion (disorder)
81564005,Chronic serous otitis media (disorder)
765153009,Chronic serous otitis media of right ear (disorder)
765152004,Chronic serous otitis media of left ear (disorder)
1083421000119103,Chronic serosanguineous otitis media of bilateral middle ears (disorder)
1088551000119103,Chronic serosanguineous otitis media of left middle ear (disorder)
1091161000119104,Chronic serosanguineous otitis media of right middle ear (disorder)
86850004,Serosanguineous chronic otitis media (disorder)
32760002,Exudative otitis media (disorder)
28795002,Subacute exudative otitis media (disorder)
312218008,Infective otitis media (disorder)
703469002,Bacterial otitis media (disorder)
19021002,Haemophilus influenzae otitis media (disorder)
16664009,Malignant otitis media (disorder)
721742004,Otitis media caused by Streptococcus pneumoniae (disorder)
39288006,Purulent otitis media (disorder)
194286008,Bilateral suppurative otitis media (disorder)
1083431000119100,Chronic suppurative otitis media of bilateral middle ears (disorder)
1083271000119101,Chronic atticoantral suppurative otitis media of bilateral middle ears (disorder)
38394007,Chronic purulent otitis media (disorder)
41954005,Chronic atticoantral suppurative otitis media (disorder)
1088401000119103,Chronic atticoantral suppurative otitis media of left middle ear (disorder)
1091011000119101,Chronic atticoantral suppurative otitis media of right middle ear (disorder)
1091181000119108,Chronic suppurative otitis media of right middle ear (disorder)
87665008,Chronic tubotympanic suppurative otitis media (disorder)
85940005,Tuberculous otitis media (disorder)
1088571000119107,Chronic suppurative otitis media of left middle ear (disorder)
10674911000119108,Otitis media caused by Influenza A virus (disorder)
429767005,Chronic otitis media after insertion of tympanic ventilation tube (disorder)
1088531000119109,Chronic otitis media of left ear following insertion of tympanic ventilation tube (disorder)
1091141000119103,Chronic otitis media of right ear following insertion of tympanic ventilation tube (disorder)
1083401000119107,Chronic otitis media of bilateral ears following insertion of tympanic ventilation tube (disorder)
1343699004,Chronic otitis media with effusion (disorder)
1163148001,Chronic suppurative otitis media caused by Aspergillus (disorder)
10624951000119108,Otitis media caused by Influenza virus (disorder)
10624911000119107,Otitis media caused by Influenza A virus subtype H1N1 (disorder)
275481002,Non-suppurative otitis media (disorder)
359609001,Acute non-suppurative otitis media (disorder)
52353000,Acute mucoid otitis media (disorder)
1088061000119105,Acute mucoid otitis media of left middle ear (disorder)
1082951000119107,Acute mucoid otitis media of bilateral middle ears (disorder)
1090681000119105,Acute mucoid otitis media of right middle ear (disorder)
194240006,Acute non-suppurative serous otitis media (disorder)
35183001,Acute transudative otitis media (disorder)
1083051000119102,Recurrent acute serous otitis media of bilateral middle ears (disorder)
194290005,Acute bilateral otitis media (disorder)
290051000119103,Recurrent acute suppurative otitis media of bilateral middle ears (disorder)
