SNOMEDCTCodes,Description
90120004,Mycosis fungoides (morphologic abnormality)
118618005,Mycosis fungoides (disorder)
765328000,Classic mycosis fungoides (disorder)
404115006,Bullous mycosis fungoides (disorder)
94714002,Mycosis fungoides of spleen (disorder)
404117003,Spongiotic mycosis fungoides (disorder)
681291000119105,History of mycosis fungoides (situation)
418628003,Follicular mycosis fungoides (morphologic abnormality)
404113004,Tumour stage mycosis fungoides (disorder)
404118008,Syrngotropic mycosis fungoides (disorder)
404112009,Granulomatous mycosis fungoides (disorder)
404114005,Erythrodermic mycosis fungoides (disorder)
404110001,Hypomelanocytic mycosis fungoides (disorder)
404109006,Folliculotropic mycosis fungoides (disorder)
404108003,Pokilodermatous mycosis fungoides (disorder)
404107008,Patch/plaque stage mycosis fungoides (disorder)
404116007,Mycosis fungoides with systemic infiltration (disorder)
94708009,Mycosis fungoides of intrapelvic lymph nodes (disorder)
94707004,Mycosis fungoides of intra-abdominal lymph nodes (disorder)
188627002,Mycosis fungoides of  lymph nodes of multiple sites (disorder)
404111002,Lymphomatoid papulosis-associated mycosis fungoides (disorder)
404104001,Lymphomatoid papulosis type B mycosis fungoides-like (disorder)
94715001,Mycosis fungoides of extranodal AND/OR solid organ site (disorder)
94709001,Mycosis fungoides of intrathoracic lymph nodes (disorder)
94711005,"Mycosis fungoides of lymph nodes of head, face AND/OR neck (disorder)"
94710006,Mycosis fungoides of lymph nodes of axilla AND/OR upper limb (disorder)
94712003,Mycosis fungoides of lymph nodes of inguinal region AND/OR lower limb (disorder)
28054005,"Cutaneous T-cell lymphoma, no International Classifcation of Diseases for oncology subtype (morphologic abnormality)"
40012207,Primary cutaneous T-cell lymphoma (disorder)
277613000,Cutaneous/peripheral T-cell lymphoma (disorder)
404128004,CD-30 negative cutanoeus T-cell lymphoma (disorder)
419283005,Primary cutaneous T-cell lymphoma - category (morphologic abnormality)
128804002,Primary cutaneous CD30 antigen positive T-cell lymphoproliferative disorder (morphologic abnormality)
450908002,Primary cutaneous gamma-delta T-cell lymphoma (morphologic abnormality)
122571000119106,History of primary cutaneous T-cell lymphoma (situation)
419018000,Primary cutaneous large T-cell lymphoma - category (morphologic abnormality)
402880009,Primary cutaneous large T-cell lymphoma (disorder)
404133000,Subcutaneous panniculitic cutaneous T-cell lymphoma (disorder)
787198005,Primary cutaneous acral CD8 positive T-cell lymphoma (morphologic abnormality)
397352006,"Primary cutaneous anaplastic large T-cell lymphoma, CD30-positive (morphologic abnormality)"
733627006,Primary cutaneous gamma-delta-positive T-cell lymphoma (disorder)
404129007,CD-30 negative anaplastic large T-cell cutaneous lymphoma (disorder)
404130002,CD-30 negative pleomorphic large T-cell cutaneous lymphoma (disorder)
404126000,CD-30 positive pleomorphic large T-cell cutaneous lymphoma (disorder)
765136002,Primary cutaneous CD8 positive aggressicve epidermotropic cytotoxic T-cell lymphoma (disorder)
128875000,Primary cutaneous CD30 antigen positive large T-cell lymphoma (disorder)
733895005,Primary cutaneous CD8 positive aggressicve epidermotropic cytotoxic T-cell lymphoma (morphologic abnormality)
419586003,"Primary cutaneous T-cell lymphoma, large cell, CD30-negative (morphological abnormality)"
118611004,Sezary's disease (disorder)
4950009,Sezary's disease (morphologic abnormality)
255101006,Sezary disease of skin (disorder)
95263006,Sezary's disase of spleen (disorder)
188632001,Sezary's disase of intra-abdominal lymph nodes (disorder)
188635004,Sezary's disase of intrapelvic lymph nodes (disorder)
188631008,Sezary's disase of intrathoracic lymph nodes (disorder)
188637007,Sezary disease of lymph nodes of multiple sites (disorder)
95264000,Sezary's disease of extranodal AND/OR solid organ site (disorder)
188633006,Sezary's disease of lymph nodes of axilla and upper limb (disorder)
95260009,"Sezary's disease of lymph nodes of head, face AND/OR neck (disorder)"
188634000,Sezary's disease of lymph nodes of inguinal region and lower limb (disorder)
95261008,Sezary's disease of lymph nodes of inguinal region AND/OR lower limb (disorder)
419392005,Primary cutaneous lymphoma (morphologic abnormality)
82321000000106,Tumour and germline whole genome sequencing for anaplastic lymphoma kinase negative anaplastic large cell lymphoma including primary cutaneous subtypes (procedure)
403274000,Hypomelanosis surrounding malignant melanoma (disorder)
402563000,Metastatic malignant melanoma with diffuse hypermelanosis (disorder)
276751004,Amelanotic malignant melanoma of skin (disorder)
70594002,Amelanotic melanoma (morphologic abnormality)
402623006,Hypomelanosis surrounding melanocytic neoplasm (disorder)
