V2Codes,Description
R0207,[D]Paraesthesia
1B46.,C/O paraesthesia
1B47.,Transient paraesthesia
29B5.,O/E - paraesthesia present
29B50,O/E - paraesthesia in hands
Eu446,[X]Dissociative anaesthesia and sensory loss
R020.,[D]Skin sensation disturbance
R0201,[D]Burning of skin
R0202,[D]Pricking of skin
R0203,[D]Tingling of skin
R0206,[D]Numbness
R0208,[D]Formication
R0209,[D]Allodynia
R020A,[D]Cheiro-oral syndrome
R020z,[D]Skin sensation disturbance NOS
1B42.,Has prickling sensation
1B43.,Has tingling sensation
1B44.,Has numbness
2G2D.,Numbness of hand
29E4.,On examination allodynia
1B41.,Has pins and needles
F351.,Meralgia paraesthetica
