CTV3Codes,Description
Xa04L,Parasuicide
Xa3jI,Attempted suicide NOS
146A.,H/O: attempted suicide
XM1Fs,"Self hanging, strangulation or suffocation"
TK3..,"Suicide and selfinflicted injury by hanging, strangulation and suffocation"
TK30.,Suicide or attempted suicide by hanging
Xa3jC,Attempted suicide - hanging
Xa3jL,Suicide - hanging
TK3y.,"Suicide and selfinflicted injury by other means of hanging, strangulation and suffocation"
TK3z.,"Suicide and selfinflicted injury by hanging, strangulation and suffocation NOS"
XE22I,Suicide and selfinflicted injury by suffocation by plastic bag
Xa3jD,Attempted suicide - suffocation
Xa3jM,Suicide - suffocation
TK0..,Suicide and selfinflicted poisoning by solid and liquid substances
TK0z.,Suicide and selfinflicted poisoning by solid and liquid substances NOS
TK4..,Suicide and selfinflicted injury by drowning
TK5..,Suicide or selfinflicted injury by firearms and explosives
TK50.,Suicide or selfinflicted injury by handgun
TK51.,Suicide or selfinflicted injury by shotgun
TK52.,Suicide or selfinflicted injury by hunting rifle
TK53.,Suicide or selfinflicted injury by military firearm
TK54.,Suicide and selfinflicted injury by other firearm
TK55.,Suicide or selfinflicted injury by explosives
TK5z.,Suicide and selfinflicted injury by firearms and explosives NOS
Xa3jF,Attempted suicide - firearms
Xa3jO,Suicide - firearms
TK6..,Suicide or selfinflicted injury by cutting and stabbing
TK60.,Suicide or selfinflicted injury by cutting
TK61.,Suicide or selfinflicted injury by stabbing
TK6z.,Suicide and selfinflicted injury by cutting and stabbing instruments NOS
Xa3jG,Attempted suicide - cut/stab
Xa3jP,Suicide - cut/stab
TK7..,Suicide or self injury by jumping from a height
TK70.,Suicide and selfinflicted injury by jumping from residential premises
TK71.,Suicide and selfinflicted injury by jumping from other man-made structure
TK72.,Suicide and selfinflicted injury by jumping from natural sites
TK7z.,Suicide and selfinflicted injury by jumping from high place NOS
X71B6,Suicide or self injury by jumping from high man-made structure
X71B7,Suicide or self injury by jumping from high building
X71B8,Suicide or self injury by jumping from bridge
X71B9,Suicide or self injury by jumping from high natural feature
X71BA,Suicide or self injury by jumping off cliff
Xa3jH,Attempted suicide - jumping from a high place
Xa3jQ,Suicide - jumping from a high place
TKx..,Suicide and selfinflicted injury by other means
TKx0.,Suicide and selfinflicted injury by jumping or lying before moving object
TKx00,Suicide and selfinflicted injury by jumping before moving object
TKx01,Suicide and selfinflicted injury by lying before moving object
TKx0z,Suicide and selfinflicted injury by jumping or lying before moving object NOS
TKxy.,Suicide and selfinflicted injury by other specified means
TKxz.,Suicide and selfinflicted injury by other means NOS
TKx1.,Suicide or self injury by burning or fire
TKx2.,Suicide or self injury by scalding
X71BF,Suicide or self injury by igniting petrol soaked clothing
X71BG,Suicide or self injury by arson
TKx3.,Suicide or self injury by exposure to cold
TKx4.,Suicide or self injury by electric current
TKx7.,"Suicide and selfinflicted injury by caustic substances, excluding poisoning"
TKz..,Suicide and selfinflicted injury NOS
Xa3jR,Suicide NOS
X71B3,Self poisoning by gas
TK1..,Suicide and selfinflicted poisoning by gases in domestic use
TK21.,Suicide and selfinflicted poisoning by other carbon monoxide
TK2y.,Suicide and selfinflicted poisoning by other gases and vapours
TK2z.,Suicide and selfinflicted poisoning by gases and vapours NOS
X71B4,Self poisoning by carbon monoxide
TK20.,Self poisoning by motor vehicle exhaust gas
X71B5,Self poisoning by coal gas
X71BB,Suicide or self injury associated with moving vehicles
TKx5.,Suicide or selfinflicted injury by crashing motor vehicle
