CTV3Codes,Description
F12..,Parkinson's disease
X003a,Juvenile Parkinson's disease
Fyu22,[X]Parkinsonism in diseases classified elsewhere
F12z.,Parkinson's disease NOS
XaQwf,History of Parkinson's disease
Eu023,[X]Dementia in Parkinson's disease
Xab7w,Seen by Parkinson's disease service
XaOfZ,Cerebral degeneration in Parkinson's disease
XaOm1,Unified Parkinson's disease rating scale score
X003l,Parkinson's disease - dementia complex on Guam
XabbC,Referral to community Parkinson's disease clinical nurse specialist
