ICD10Codes,Description
K22.1,Ulcer of oesophagus
K25,Gastric ulcer
K25.0,Gastric ulcer  Acute with haemorrhage
K25.1,Gastric ulcer  Acute with perforation
K25.2,Gastric ulcer  Acute with both haemorrhage and perforation
K25.3,Gastric ulcer  Acute without haemorrhage or perforation
K25.4,Gastric ulcer  Chronic or unspecified with haemorrhage
K25.5,Gastric ulcer  Chronic or unspecified with perforation
K25.6,Gastric ulcer  Chronic or unspecified with both haemorrhage and perforation
K25.7,Gastric ulcer  Chronic without haemorrhage or perforation
K25.9,"Gastric ulcer  Unspecified as acute or chronic, without haemorrhage or perforation"
K26,Duodenal ulcer
K26.0,Duodenal ulcer Acute with haemorrhage
K26.1,Duodenal ulcer Acute with perforation
K26.2,Duodenal ulcer Acute with both haemorrhage and perforation
K26.3,Duodenal ulcer Acute without haemorrhage or perforation
K26.4,Duodenal ulcer Chronic or unspecified with haemorrhage
K26.5,Duodenal ulcer Chronic or unspecified with perforation
K26.6,Duodenal ulcer Chronic or unspecified with both haemorrhage and perforation
K26.7,Duodenal ulcer Chronic without haemorrhage or perforation
K26.9,"Duodenal ulcer Unspecified as acute or chronic, without haemorrhage or perforation"
K27,"Peptic ulcer, site unspecified"
K27.0,"Peptic ulcer, site unspecified Acute with haemorrhage"
K27.1,"Peptic ulcer, site unspecified Acute with perforation"
K27.2,"Peptic ulcer, site unspecified Acute with both haemorrhage and perforation"
K27.3,"Peptic ulcer, site unspecified Acute without haemorrhage or perforation"
K27.4,"Peptic ulcer, site unspecified Chronic or unspecified with haemorrhage"
K27.5,"Peptic ulcer, site unspecified Chronic or unspecified with perforation"
K27.6,"Peptic ulcer, site unspecified Chronic or unspecified with both haemorrhage and perforation"
K27.7,"Peptic ulcer, site unspecified Chronic without haemorrhage or perforation"
K27.9,"Peptic ulcer, site unspecified Unspecified as acute or chronic, without haemorrhage or perforation"
K28,Gastrojejunal ulcer
K28.0,Gastrojejunal ulcer Acute with haemorrhage
K28.1,Gastrojejunal ulcer Acute with perforation
K28.2,Gastrojejunal ulcer Acute with both haemorrhage and perforation
K28.3,Gastrojejunal ulcer Acute without haemorrhage or perforation
K28.4,Gastrojejunal ulcer Chronic or unspecified with haemorrhage
K28.5,Gastrojejunal ulcer Chronic or unspecified with perforation
K28.6,Gastrojejunal ulcer Chronic or unspecified with both haemorrhage and perforation
K28.7,Gastrojejunal ulcer Chronic without haemorrhage or perforation
K28.9,"Gastrojejunal ulcer Unspecified as acute or chronic, without haemorrhage or perforation"
