MedCodeID,Description
8462831000006113,Polyneuropathy due to cytomegaloviral mononucleosis
8466941000006114,Polyneuropathy due to infectious mononucleosis
8034881000006115,Peripheral sensory neuropathy due to type 2 diabetes mellitus
187824013,Dejerine-Sottas disease
4196441000006116,"Hereditary motor and sensory neuropathy, type III"
4196401000006118,"Hereditary sensory-motor neuropathy, type III"
4196431000006114,Progressive hypertrophic interstitial neuropathy
4196491000006113,Hypertrophic demyelinative neuropathy of infancy
1219655013,Hereditary motor and sensory neuropathy type III
4196471000006112,Hypertrophic hereditary neuropathy
4196411000006115,Hereditary hypertrophic neuropathy
4196461000006117,HMSN III
4196391000006115,Dejerine-Sottas disease
4196451000006119,HSMN III
2685631000006114,Uremic neuropathy
2685621000006111,Uraemic neuropathy
4383621000006112,Diabetic mixed sensory-motor polyneuropathy
12218471000006119,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus
4383631000006110,Diabetic motor polyneuropathy
12218481000006116,Motor polyneuropathy co-occurrent and due to diabetes mellitus
4392131000006114,Diabetic sensory polyneuropathy
12218491000006118,Sensory neuropathy co-occurrent and due to diabetes mellitus
4403661000006111,Polyradiculoneuropathy
4405681000006119,Peripheral axonal neuropathy
4405701000006116,CIDP
4405691000006116,Chronic inflammatory demyelinating polyradiculoneuropathy
4405711000006118,CIDP - Chronic inflammatory demyelinating polyradiculoneuropathy
4405801000006112,Leprosy neuropathy
4428401000006111,Ischaemic peripheral neuropathy
4428411000006114,Ischemic peripheral neuropathy
4428511000006110,Porphyric polyneuropathy
297564019,Polyneuropathy in porphyria
4429241000006119,Diphtheritic peripheral neuritis
2717251000006116,Sensory polyneuropathy
8043161000006118,Neuropathic ulcer of ankle
8044171000006110,Neuropathic toe ulcer due to type 2 diabetes mellitus
8044241000006111,Neuropathic foot ulcer due to type 2 diabetes mellitus
7968951000006118,Diabetic peripheral neuropathy associated with type II diabetes mellitus
7968941000006115,Diabetic peripheral neuropathy associated with type 2 diabetes mellitus
12370391000006114,Peripheral neuropathy co-occurrent and due to type 2 diabetes mellitus
