SNOMEDCTCodes,Description
33449004,Personality disorder (disorder)
16805009,Cluster A personality disorder (disorder)
13601005,Paranoid personality disorder (disorder)
52954000,Schizoid personality disorder (disorder)
268633003,Introverted personality disorder (disorder)
31027006,Schizotypal personality disorder (disorder)
231528008,Anxious personality disorder (disorder)
192073007,Change in personality (disorder)
442057004,Chronic depressive personality disorder (disorder)
4306003,Cluster B personality disorder (disorder)
26665006,Antisocial personality disorder (disorder)
20010003,Borderline personality disorder (disorder)
191765005,Emotionally unstable personality disorder (disorder)
231527003,Explosive personality disorder (disorder)
192097003,Isolated explosive disorder (disorder)
40987004,Intermittent explosive disorder (disorder)
55341008,Histrionic personality disorder (disorder)
191766006,Psychoinfantile personality (disorder)
80711002,Narcissistic personality disorder (disorder)
83890006,Cluster C personality disorder (disorder)
37746008,Avoidant personality disorder (disorder)
1376001,Obsessive compulsive personality disorder (disorder)
473456000,Compulsive personality disorder (disorder)
473457009,Obsessional personality disorder (disorder)
84466009,Dependent personality disorder (disorder)
1084061000000106,Depressive personality disorder (disorder)
191772006,Eccentric personality disorder (disorder)
231526007,Fanatic personality (disorder)
191773001,Immature personality disorder (disorder)
231525006,Manipulative personality disorder (disorder)
191774007,Masochistic personality disorder (disorder)
31611000,Multiple personality disorder (disorder)
44966003,Passive aggressive personality disorder (disorder)
191496002,Personality disorder caused by drug (disorder)
46721000,Organic personality disorder caused by psychoactive substance (disorder)
268634009,Psychoneurotic personality disorder (disorder)
36217008,Organic personality disorder (disorder)
88845000,Explosive type organic personality disorder (disorder)
