SNOMEDCTCodes,Description
111209006,Photoallergic dermatitis
123240009,Photodermatitis due to sun
12477008,Acute phototoxic dermatitis
12761008,Acute photoallergic dermatitis
200832000,Hydroa aestivale
200836002,Photocontact dermatitis [berloque dermatitis]
200837006,Hydroa vacciniforme
200857005,Drug phototoxic response
200858000,Drug photoallergic response
201015007,Hydroa aestivale
22649008,Photodermatitis
238521005,Plant photodermatitis
238523008,Photoallergic eczema
238524002,Photoallergic contact dermatitis
238525001,Polymorphic photodermatitis
238527009,Persistent light reaction
259097007,Delayed photoallergic dermatitis
259608005,Photodermatitis due to sun
27687007,Hydroa aestivale
277805004,Drug-induced persistent light reaction
363619000,Phototoxic phytotoxin
367334003,Photoallergic eczema
367484009,Photodermatitis due to sun
402168004,Acute phototoxic reaction (disorder)
402172000,Hypermelanosis due to phytophotodermatitis (disorder)
402173005,Phototoxic reaction to topical chemical (disorder)
402174004,Phototoxic reaction to dye (disorder)
402175003,Phototoxic reaction to tar or derivatives (disorder)
402176002,Phototoxic reaction to topically applied medicament (disorder)
402480004,Porphyria-induced phototoxic burn (disorder)
44483004,Phytophotodermatitis
450907007,Hydroa vacciniforme-like lymphoma (morphologic abnormality)
45832002,Pupil afferent light reaction
53597009,Phototoxic dermatitis
58306008,Acute phytophotodermatitis
58419006,Chronic phytophotodermatitis
61064008,Photodermatitis due to sun
69231004,Chronic phototoxic dermatitis
724873006,Occupational phototoxic reaction to skin contact with exogenous photoactive agent (disorder)
737249005,Photodermatitis co-occurrent and due to autoimmune disease (disorder)
737250005,Phototoxic reaction of skin caused by fragrance (disorder)
737251009,Phototoxic reaction of skin caused by cosmetic
763719001,Hydroa vacciniforme-like lymphoma (disorder)
789440003,Hydroa vacciniforme-like lymphoproliferative disorder
80346008,Drug photoallergic response
83627000,Drug phototoxic response
84326006,Phototoxicity
95349002,Phytophotodermatitis due to topical exposure to furocoumarin (disorder)
