MedCodeID,Description
4192621000006113,Allergic photocontact eczema
4192591000006111,Photoallergic dermatitis
4192601000006115,Photoallergic contact dermatitis
4192611000006117,Photoallergic eczema
2698601000006112,Acute phototoxic dermatitis
2702871000006110,Acute photoallergic dermatitis
4804801000006118,Hydroa estivale
308564019,Hydroa aestivale
11782161000006111,Berloque dermatitis
11904801000006117,Photocontact dermatitis [berloque dermatitis]
308568016,Photocontact dermatitis [berloque dermatitis]
4804851000006119,Photocontact dermatitis
308569012,Hydroa vacciniforme
4804871000006112,Bazin's hydroa vacciniforme
198001000006115,Prurigo aestivalis
4806191000006113,Actinic prurigo
4806211000006114,Hutchinson's summer prurigo
4806201000006111,Summer prurigo of Hutchinson
38016018,Photodermatitis
2860981000006116,Photosensitivity dermatitis
5122591000006113,Plant photodermatitis
5122601000006117,Dermatitis bullosa et striata pratensis
5122581000006110,Phytophotodermatitis
357484010,Polymorphous light eruption
5122651000006118,Polymorphic photodermatitis
5122621000006110,Polymorphic light eruption
5122641000006115,PLE - Polymorphic light eruption
5122671000006111,Persistent light reaction
5410071000006113,Delayed photoallergic dermatitis
5416371000006114,Photodermatitis due to sun
5416381000006112,Photodermatitis caused by sun
5605051000006111,Drug-induced persistent light reaction
6248951000006114,Phototoxic phytotoxin
6660961000006119,Acute phototoxic reaction
6661001000006111,Hypermelanosis due to phytophotodermatitis
6661011000006114,Hypermelanosis caused by phytophotodermatitis
6661031000006115,Phototoxic reaction caused by topical chemical
6661021000006118,Phototoxic reaction to topical chemical
6661051000006110,Phototoxic reaction caused by dye
6661041000006113,Phototoxic reaction to dye
6661061000006112,Phototoxic reaction to tar or derivative
6661071000006117,Phototoxic reaction caused by tar or derivative
6661081000006119,Phototoxic reaction to topically applied medicament
6661091000006116,Phototoxic reaction caused by topically applied medicament
6666041000006117,Phototoxic burn due to porphyria
6666031000006110,Porphyria-induced phototoxic burn
7384931000006113,Hydroa vacciniforme-like lymphoma
3369061000006114,Phototoxic eczema
3369071000006119,Phototoxic reaction
3369051000006112,Phototoxic dermatitis
3447421000006116,Acute phytophotodermatitis
3449221000006113,Chronic phytophotodermatitis
3625841000006116,Chronic phototoxic dermatitis
7862541000006117,Occupational phototoxic reaction to skin contact with exogenous photoactive agent
3527262014,Photodermatitis co-occurrent and due to autoimmune disease
3527264010,Phototoxic reaction of skin caused by fragrance
3527265011,Phototoxic reaction of skin caused by cosmetic
12009201000006112,Hydroa vacciniforme-like lymphoma
3806901000006118,Photoallergic drug reaction
630781000006116,Photoallergic drug eruption
630791000006118,Phototoxic drug eruption
3860701000006117,Phototoxic drug reaction
3871881000006119,Phototoxicity
3871911000006119,Photosensitive dermatitis
3871901000006117,Photosensitization reaction
3871891000006116,Photosensitisation reaction
4055291000006115,Phytophotodermatitis due to topical exposure to furocoumarin
4055301000006119,Phytophotodermatitis caused by topical exposure to furocoumarin
4055281000006118,Phytophlyctodermatitis
