V2Codes,Description
863..,Phototherapy
8631.,Phototherapy
8632.,Ultraviolet light therapy
8634.,Ultraviolet lesion destruction
8636.,Ultraviolet A therapy
8637.,Ultraviolet B therapy
8638.,Photodynamic therapy
863Z.,Radiation/phototherapy NOS
7G0E.,Phototherapy to skin
7G0E0,Ultraviolet A light therapy to skin
7G0E1,Ultraviolet B light therapy to skin
7G0E2,Combined photochemotherapy and ultraviolet A light therapy to skin
7G0E3,Combined photochemotherapy and ultraviolet B light therapy to skin
7G0Ey,Other specified phototherapy to skin
7G0Ez,Phototherapy to skin NOS
