CTV3Codes,Description
B7H20,Benign neoplasm of pituitary gland
X78aD,Pituitary adenoma - disorder
X78aI,Corticotroph adenoma
X78aK,Gonadotroph adenoma
X77nb,Prolactinoma
X77nc,Microprolactinoma
X77nd,Macroprolactinoma
X78aE,Somatotroph adenoma
X78aJ,Thyrotroph adenoma
X78aL,Mixed-functioning pituitary adenoma
X78aM,Functionless pituitary adenoma
X78aN,Pituitary microadenoma
X78aP,Pituitary macroadenoma
X78aO,Pituitary mesoadenoma
X40Le,Pituitary adenoma with extrasellar extension
X78aQ,Suprasellar extension of pituitary adenoma
XC0u9,Pituitary macroadenoma with extrasellar extension
B5420,Malignant neoplasm of pituitary gland
X78aB,Pituitary carcinoma
X78ky,Metastasis to pituitary
B9200,Neoplasm of uncertain behaviour of pituitary gland
B542z,Malignant neoplasm of pituitary gland or craniopharyngeal duct NOS
B7H2z,Benign neoplasm of pituitary gland and craniopharyngeal duct NOS
B920z,Neoplasm of uncertain behaviour of pituitary gland and craniopharyngeal duct NOS
XE2vb,Benign neoplasm of pituitary gland and craniopharyngeal duct
B542.,Malignant neoplasm of pituitary gland and craniopharyngeal duct
B920.,Neoplasm of uncertain behaviour of pituitary gland and craniopharyngeal duct
B9201,Neoplasm of uncertain behaviour of craniopharyngeal duct
C1502,Pituitary dependent cushings disease
