MedCodeID,Description
2787341000006110,Genus Malassezia
2787331000006117,Pityrosporum
2787351000006112,Malassezia species
2787321000006115,Malassezia
2976341000006113,Pityrosporum ovale
2976351000006110,Pityrosporum orbiculare
2976331000006115,Malassezia furfur
2976361000006112,Pityrosporum furfur
2976371000006117,Malassezia ovale
6660351000006115,Malassezia infection of skin
93877018,Tinea flava
3417211000006118,PV - Pityriasis versicolor
3417191000006119,Tinea versicolor due to Pityrosporum furfur
3417201000006116,Tinea versicolor due to Malassezia furfur
93876010,Tinea versicolor
3417221000006114,TV - Tinea versicolor
93875014,Pityriasis versicolor
7823291000006110,Malassezia infection
7823281000006112,Infection caused by Malassezia
