SNOMEDCTCodes,Description
233604007,Pneumonia (disorder)
196112005, Abscess of lung with pneumonia (disorder)
422588002,Aspiration pneumonia (disorder)
35031000119100,Acute aspiration pneumonia (disorder)
75426006,Aspiration pneumonia caused by regurgitated food (disorder)
72854003,Aspiration pneumonia due to near drowning (disorder)
44549008,Aspiration pneumonia resulting from a procedure (disorder)
276695003,Neonatal aspiration pneumonia (disorder)
438764004,Postoperative aspiration pneumonia (disorder)
430969000,Recurrent aspiration pneumonia (disorder)
407671000,Bilateral pneumonia (disorder)
396286008,Bilateral bronchopneumonia (disorder)
396285007,Bronchopneumonia (disorder)
123587001,Acute bronchopneumonia (disorder)
10625071000119104,Bronchopneumonia caused by bacteria (disorder)
10624991000119103,Bronchopneumonia caused by Achromobacter (disorder)
10625031000119102,Bronchopneumonia caused by anaerobic bacteria (disorder)
10625111000119106,Bronchopneumonia caused by Escherichia coli (disorder)
10625231000119106,Bronchopneumonia caused by Haemophilus influenzae (disorder)
10625311000119109,Bronchopneumonia caused by Klebsiella pneumoniae (disorder)
10625431000119105,Bronchopneumonia caused by Mycoplasma pneumoniae (disorder)
10625471000119108,Bronchopneumonia caused by Proteus mirabilis (disorder)
10625591000119108,Bronchopneumonia caused by Staphylococcus (disorder)
10625631000119108,Bronchopneumonia caused by Staphylococcus aureus (disorder)
10625351000119105,Bronchopneumonia caused by methicillin resistant Staphylococcus aureus (disorder)
10625391000119100,Bronchopneumonia caused by methicillin susceptible Staphylococcus aureus (disorder)
10625671000119106,Bronchopneumonia caused by Streptococcus (disorder)
10625151000119107,Bronchopneumonia caused by Group A Streptococcus (disorder)
10625191000119102,Bronchopneumonia caused by Group B Streptococcus (disorder)
10625751000119106,Bronchopneumonia due to virus (disorder)
58890000,Adenoviral bronchopneumonia (disorder)
10625271000119109,Bronchopneumonia caused by Human metapneumovirus (disorder)
10625551000119103,Bronchopneumonia caused by respiratory syncytial virus (disorder)
41269000,Influenzal bronchopneumonia (disorder)
64880000,Parainfluenza virus bronchopneumonia (disorder)
123588006,Confluent bronchopneumonia with abscess formation (disorder)
181007,Hemorrhagic bronchopneumonia (disorder)
31561003,Hypostatic bronchopneumonia (disorder)
123589003,Necrotizing bronchopneumonia (disorder)
60485005,Pleurobronchopneumonia (disorder)
64703005,Terminal bronchopneumonia (disorder)
50804000,Catarrhal pneumonia (disorder)
471272001,Cavitary pneumonia (disorder)
102361000119104,Chronic pneumonia (disorder)
240742009,Chronic pulmonary African histoplasmosis (disorder)
724500003, Idiopathic chronic eosinophilic pneumonia (disorder)
385093006,Community acquired pneumonia (disorder)
123591006,Confluent pneumonia (disorder)
78895009,Congenital pneumonia (disorder)
276693005, Congenital bacterial pneumonia (disorder)
206289001,Congenital chlamydial pneumonia (disorder)
206286008, Congenital Escherichia coli pneumonia (disorder)
206284006,Congenital group A hemolytic streptococcal pneumonia (disorder)
206285007,Congenital group B hemolytic streptococcal pneumonia (disorder)
206287004,Congenital pseudomonal pneumonia (disorder)
206283000,Congenital staphylococcal pneumonia (disorder)
276692000, Congenital viral pneumonia (disorder)
123590007,Focal pneumonia (disorder)
7063008,Gangrenous pneumonia (disorder)
72656004,Granulomatous pneumonia (disorder)
233617005,Hemorrhagic pneumonia (disorder)
85469005,Hypostatic pneumonia (disorder)
708031000, Idiopathic eosinophilic pneumonia (disorder)
724499007, Idiopathic acute eosinophilic pneumonia (disorder)
312342009,Infective pneumonia (disorder)
53084003,Bacterial pneumonia (disorder)
713544008,Bacterial pneumonia co-occurrent with human immunodeficiency virus infection (disorder)
420544002,Bacterial pneumonia with acquired immunodeficiency syndrome (disorder)
420787001,Pneumococcal pneumonia with acquired immunodeficiency syndrome (disorder)
713526000,Recurrent bacterial pneumonia co-occurrent with human immunodeficiency virus infection (disorder)
421671002, Pneumonia with acquired immunodeficiency syndrome (disorder)
421047005,Candidiasis of lung with acquired immunodeficiency syndrome (disorder)
421508002,Viral pneumonia with acquired immunodeficiency syndrome (disorder)
408680002,Healthcare associated bacterial pneumonia (disorder)
408681003, Healthcare associated legionnaire's disease (disorder)
409665004,Pneumonia caused by aerobic bacteria (disorder)
195902009,Anthrax pneumonia (disorder)
1087061000119106,Gonococcal pneumonia (disorder)
195886008,Group B streptococcal pneumonia (disorder)
195889001,Legionella pneumonia (disorder)
76090006,Pittsburgh pneumonia (disorder)
233608005,Meningococcal pneumonia (disorder)
233618000,Mycobacterial pneumonia (disorder)
277869007,Non-tuberculous mycobacterial pneumonia (disorder)
80003002,Tuberculous pneumonia (disorder)
195909000,Nocardial pneumonia (disorder)
233607000,Pneumococcal pneumonia (disorder)
10625711000119100,Bronchopneumonia caused by Streptococcus pneumoniae (disorder)
1010634002,Pneumonia caused by Acinetobacter (disorder)
41381004,Pneumonia caused by Pseudomonas (disorder)
10625511000119104,Bronchopneumonia caused by Pseudomonas (disorder)
1208602000,Pneumonia caused by Pseudomonas aeruginosa (disorder)
441658007,Pneumonia caused by Staphylococcus aureus (disorder)
763888005,Necrotizing pneumonia caused by Panton-Valentine leukocidin producing Staphylococcus aureus (disorder)
124691000119101,Pneumonia caused by methicillin resistant Staphylococcus aureus (disorder)
128711000119106,Pneumonia caused by methicillin susceptible Staphylococcus aureus (disorder)
441942006,Pneumonia caused by Streptococcus pyogenes (disorder)
32286006,Pneumonia in Q fever (disorder)
240391001,Pulmonary melioidosis (disorder)
409664000,Pneumonia caused by anaerobic bacteria (disorder)
195908008,Actinomycotic pneumonia (disorder)
430395005,Pneumonia caused by Gram negative bacteria (disorder)
61884008,Achromobacter pneumonia (disorder)
70036007,Haemophilus influenzae pneumonia (disorder)
1092951000119106,Pneumonia caused by Bordetella parapertussis (disorder)
233609002,Pneumonia caused by Chlamydiaceae (disorder)
233610007, Neonatal chlamydial pneumonia (disorder)
724498004,Pneumonia caused by Chlamydia pneumoniae (disorder)
1176988004, Pneumonia caused by Enterobacter (disorder)
51530003,Pneumonia caused by Escherichia coli (disorder)
64479007, Pneumonia caused by Klebsiella pneumoniae (disorder)
46970008, Pneumonia caused by Mycoplasma pneumoniae (disorder)
195896004,Pneumonia caused by pleuropneumonia-like organism (disorder)
59475000,Pneumonia in pertussis (disorder)
45312009,Pneumonia in typhoid fever (disorder)
38976008,Pneumonic plague (disorder)
35339003, Primary pneumonic plague (disorder)
67525007,Secondary pneumonic plague (disorder)
195888009,Proteus pneumonia (disorder)
39172002,Pneumonia caused by Proteus mirabilis (disorder)
32204007,Pulmonary actinobacillosis (disorder)
233621003,Rickettsial pneumonia (disorder)
2523007,Salmonella pneumonia (disorder)
733051000, Pneumonia caused by Gram positive bacteria (disorder)
1149093006,Pneumonia caused by vancomycin resistant Enterococcus (disorder)
22754005,Staphylococcal pneumonia (disorder)
713525001,Recurrent bacterial pneumonia (disorder)
308906005,Secondary bacterial pneumonia (disorder)
233613009,Fungal pneumonia (disorder)
3487004,Candidiasis of lung (disorder)
240747003,Chronic pulmonary blastomycosis (disorder)
415125002,Pneumocystosis jirovecii pneumonia (disorder)
442094008,Pneumonia caused by Histoplasma (disorder)
38699009,  Pneumonia caused by Histoplasma capsulatum (disorder)
187052004,Pulmonary African histoplasmosis (disorder)
240741002,Acute pulmonary African histoplasmosis (disorder)
111900000,Pneumonia in aspergillosis (disorder)
84753008,Pneumonia in systemic mycosis (disorder)
195904005,Pneumonia with coccidioidomycosis (disorder)
28791000119105,Chronic coccidioidomycotic pneumonia (disorder)
417688002,Chronic progressive coccidioidal pneumonia (disorder)
