CTV3Codes,Description
XM00q,Pruritus
Xa05c,Generalised pruritus
Xa7yK,Pruritic rash
XM1Xn,Scalp itchy
XE1B7,Pruritus ani
XE1BA,Pruritus NOS
Xa0Wb,Scalp pruritus
M1810,Pruritus scroti
M18y2,Senile pruritus
X5001,Pruritus vulvae
XE1B8,Genital pruritus
Myu2B,[X]Other pruritus
X508c,Aquagenic pruritus
Xa13L,Pruritus - disorder
Myu2D,"[X]Pruritus, unspecified"
E2630,Psychogenic pruritus
X508X,Cholinergic pruritus
X50JH,Pruritus of pregnancy
M18..,Pruritus and related conditions
M18y.,Other specified pruritic conditions
XE1B9,Other pruritic conditions NOS
XaQk6,Skin lesion itchy
X50B7,Itching purpura
XaFwc,Itching of pigmented skin lesion
