MedCodeID,Description
295364016,Psychogenic pruritus
424091000006113,[X]Psychogenic pruritis
4766331000006113,Pruritus sine materia
5122961000006111,Pruriginous atopic eczema
5122951000006114,Pruriginous atopic dermatitis
5125131000006112,Cholinergic pruritus
490521000006117,Aquagenic pruritus
5125201000006114,Water-induced itching
5130441000006118,Pruritus gravidarum
5130431000006111,Pruritus of pregnancy
358325012,Pregnancy pruritus
5130491000006110,Pruritic folliculitis of pregnancy
398005012,C/O: itching
5498641000006114,Complaining of itching
399922015,Pruritus of genital organs
399923013,Genital pruritus
411894018,Scalp itchy
5585371000006113,Generalised pruritus
5585391000006114,Generalized pruritus
5585401000006111,Generalized itching
5585381000006111,Generalised itching
459752013,Itching of pigmented skin lesion
3053381000006112,Itching of vagina
3053371000006114,Pruritus of vagina
6454581000006115,Pruritus management
6454571000006118,Pruritus care
6668901000006117,Pruritic scalp dermatosis
6683211000006115,Postmenopausal pruritus
6683221000006111,Pruritus due to systemic disorder
6683231000006114,Generalised pruritus of unknown aetiology
6683241000006116,Generalized pruritus of unknown etiology
6919001000006110,Itchy
6918981000006112,Itching
6918991000006110,Itch
309329017,Pruritus
6920121000006115,Itching of skin
71017013,Senile pruritus
71016016,Pruritus senilis
1140171000000112,Itching of lesion of skin
7306401000006118,Skin lesion itchy
7499581000006114,Referred itching
308809018,Prurigo NOS
309326012,[X]Other prurigo
106630017,Prurigo
3543241000006113,Itchy skin eruption
3543221000006118,Pruritic rash
3567351000006119,Scrotal pruritus
3567361000006117,Itching of scrotum
500169013,Pruritus scroti
3604221000006115,Vulval itching
198131000006112,Pruritus vulvae
500869010,Pruritus vulvae
3604201000006113,Itching of vulva
3604191000006110,Pruritus of vulva
3623281000006110,Pruritus of penis
3623291000006113,Itching of penis
7521511000006117,Itching of ear
149896010,Pruritus ani
215541000000111,Perianal irritation
149897018,Perianal itch
3970021000006113,Anal itch
4059251000006111,Male genital pruritus
4059241000006114,Itching of male genital organs
4059231000006116,Pruritus of male genital organs
308794011,Pruritus and related conditions
308813013,Other specified pruritic conditions
309327015,[X]Other pruritus
446685017,O/E - itchy rash
402428012,O/E - rash present
411931013,O/E - allergic rash
615991000006117,Dhobie itch
1778497010,Tinea cruris
879501000006118,Tinea of groin/perianal
614581000006111,Dermatophytosis of groin and perianal area
411434010,Perianal pain
411287012,Vulva sore
492217012,Skin irritation
399925018,Pruritus of skin
889341000006119,Pruritus - itch - NOS
2579713018,Pruritic disorders
