V2Codes,Description
F591.,Sensorineural hearing loss
F5910,Unspecified perceptive hearing loss
F5911,Sensory hearing loss
F5912,Neural hearing loss
F5913,Central hearing loss
F5914,Congenital sensorineural deafness
F5915,Ototoxicity - deafness
F5916,"Sensorineural hearing loss, bilateral"
F5917,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
F5918,Congenital prelingual deafness
F591A,Bilateral congenital sensorineural hearing loss
F5919,Bilateral profound sensorineural hearing loss
F591B,Profound sensorineural hearing loss
F591C,Moderate sensorineural hearing loss
F591D,Mild sensorineural hearing loss
F591E,Severe sensorineural hearing loss
F591y,Combined perceptive hearing loss
F591z,Perceptive hearing loss NOS
F5921,"Mixed conductive and sensorineural hearing loss, bilateral"
F5920,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
F5801,Presbyacusis
PKy90,Alport's syndrome
PKy58,Usher's syndrome
C030.,Pendred's syndrome
G56y3,Jervell and Lange-Nielsen syndrome
PKy54,Waardenburg's syndrome
C3027,Klein-Waardenberg's syndrome
PKy7B,Stickler syndrome
A5602,Rubella deafness
