MedCodeID,Description
2661951000006110,BADS syndrome
2661941000006113,"Black locks, oculocutaneous albinism, AND deafness of the sensorineural type"
2518701000006110,"Knuckle pads, deafness AND leukonychia syndrome"
2518721000006117,"Knuckle pads, leuconychia and deafness"
2518711000006113,Bart-Pumphrey syndrome
4428701000006118,Metabolic presbycusis
4428711000006115,Mechanical presbycusis
2739701000006112,Familial amyloid nephropathy with urticaria AND deafness
2739721000006119,Muckle-Wells type amyloidosis
1846681000006117,Amyloid nephropathy with deafness and urticaria
25680012,Muckle-Wells syndrome
2741391000006119,Oligophrenia microphthalmus
1979361000006117,Norrie's disease
2741371000006115,Atrophia bulborum hereditaria
286780017,Rubella deafness
299259014,"Sensorineural hearing loss, bilateral"
299261017,Combined perceptive hearing loss
299264013,"Mixed conductive and sensorineural hearing loss, bilateral"
5031281000006111,Usher syndrome type 1
5031291000006114,Usher syndrome type 2
5034461000006119,Mondini defect
5034801000006117,Dominant sensorineural hearing loss
5034811000006119,X-linked sensorineural hearing loss
5034821000006110,Recessive sensorineural hearing loss
5034841000006115,Postnatal acquired sensorineural hearing loss
5095461000006114,"Prune belly syndrome with pulmonic stenosis, mental retardation and deafness"
354552014,Renal tubular acidosis with progressive nerve deafness
356099014,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
356100018,Herrmann syndrome
356110010,"Megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
11814631000006115,Thiamine-responsive megaloblastic anaemia syndrome
356109017,Rogers syndrome
5109801000006118,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
11814621000006118,Thiamine-responsive megaloblastic anemia syndrome
356118015,Diabetes-deafness syndrome maternally transmitted
356117013,Ballinger-Wallace syndrome
5114341000006114,Klein-Waardenberg syndrome
356581013,Klein-Waardenberg's syndrome
5129671000006115,Keratitis ichthyosis and deafness syndrome
5129691000006119,Keratitis ichthyosis deafness syndrome
5129701000006119,Kid syndrome
