CTV3Codes,Description
XE17N,Sensorineural hearing loss
XaZuF,Mild sensorineural hearing loss
XaZuE,Profound sensorineural hearing loss
XaZuB,Severe sensorineural hearing loss
XaZuA,Moderate sensorineural hearing loss
X00kR,Dominant sensorineural hearing loss
X00kS,X-linked sensorineural hearing loss
X00kT,Recessive sensorineural hearing loss
X00kU,Perinatal sensorineural hearing loss
X00kV,Postnatal acquired sensorineural hearing loss
F5801,Presbyacusis
F5911,Cochlear hearing loss
F5912,Neural hearing loss
Xa0PN,Postoperative profound sensorineural hearing loss
F5914,Congenital sensorineural deafness
XaRE1,Congenital prelingual deafness
XaOPs,Maternally inherited deafness
F5910,Unspecified perceptive hearing loss
F5916,"Sensorineural hearing loss, bilateral"
XaaLf,Bilateral profound sensorineural hearing loss
XaaLg,Bilateral congenital sensorineural hearing loss
F5917,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
F591y,Combined perceptive hearing loss
F591z,Perceptive hearing loss NOS
X00kP,High frequency deafness
X00kQ,Low frequency deafness
XE17O,Ototoxicity - deafness
XM1QG,Drug ototoxicity - deafness
F592.,Mixed conductive and sensorineural hearing loss
F5920,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
F5921,"Mixed conductive and sensorineural hearing loss, bilateral"
X40JW,"Megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
XM19O,[EDTA] Hereditary nephritis with nerve deafness (Alport's Syndrome) associated with renal failure
PKy58,Usher syndrome
X00dy,Usher syndrome type 1
X00dz,Usher syndrome type 2
C030.,Pendred syndrome
G56y3,Jervell and Lange-Nielsen syndrome
PKy54,Waardenburg's syndrome
XE2ud,Treacher Collins syndrome
PKy7B,Stickler syndrome
X00dN,Norrie's disease
A5602,Rubella deafness
X50Ir,"Knuckle pads, leuconychia and deafness"
X77tB,Deafness due to congenital anomaly NEC
X50Hr,"Nail dystrophy, deafness syndrome"
X50IK,Keratitis ichthyosis and deafness syndrome
X50IO,Keratosis pilaris with ichthyosis and deafness
C3734,Amyloid nephropathy with deafness and urticaria
X78CP,HID - Hystrix ichthyosis with deafness syndrome
X008t,"DIDMOAD - Diabetes insipidus,diabetes mellitus, optic atrophy and deafness"
X50I0,"DOOR - Deafness, triphalangeal thumbs, onychodystrophy"
X30Li,Renal tubular acidosis with progressive nerve deafness
X40JR,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
X50HE,"Alopecia, onychodysplasia, hypohidrosis, deafness ectodermal dysplasia"
X30Lf,"Prune belly syndrome with pulmonic stenosis, mental retardation and deafness"
