MedCodeID,Description
2659301000006117,Bacterial septicaemia
2659291000006118,Bacterial septicemia
2659281000006116,Bacterial sepsis
9324031000006112,Sepsis due to ectopic pregnancy
9326001000006110,Pyaemic and septic embolism in childbirth
9326011000006113,Pyemic and septic embolism in childbirth
9326031000006119,Pyaemic and septic embolism in pregnancy
9326041000006112,Pyemic and septic embolism in pregnancy
9331671000006118,Sepsis due to incomplete miscarriage
9331681000006115,Sepsis due to incomplete spontaneous abortion
2515751000006119,Intrauterine sepsis of foetus
359981019,Congenital sepsis NOS
2515711000006115,Intrauterine sepsis of fetus
585081000006114,Congenital septicaemia
2515741000006116,Intrauterine foetal sepsis
2515721000006111,Congenital sepsis
2515731000006114,Intrauterine fetal sepsis
8467241000006117,Sepsis without acute organ dysfunction
8467251000006115,Sepsis wo acute organ dysfunction
8467261000006118,Septic shock co-occurrent with acute organ dysfunction due to Chromobacterium
8467271000006113,Septic shock co-occurrent with acute organ dysfunction due to coagulase-negative Staphylococcus
8467281000006111,Septic shock co-occurrent with acute organ dysfunction due to Enterococcus
8467291000006114,Septic shock co-occurrent with acute organ dysfunction due to Gonococcus
8467311000006113,Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus
8467321000006117,Septic shock co-occurrent with acute organ dysfunction due to Group A streptococcus
8467331000006119,Septic shock co-occurrent with acute organ dysfunction due to Group B streptococcus
8467341000006112,Severe sepsis with acute organ dysfunction due to Chromobacterium
8467351000006114,Severe sepsis with acute organ dysfunction due to coagulase negative Staphylococcus
8467361000006111,Severe sepsis with acute organ dysfunction due to Enterococcus
8467371000006116,Severe sepsis with acute organ dysfunction caused by Gonococcus
8467391000006115,Severe sepsis with acute organ dysfunction due to Gram-positive bacteria
8467401000006118,Severe sepsis with acute organ dysfunction caused by Gram-positive bacteria
8467411000006115,Severe sepsis with acute organ dysfunction due to Group A streptococcus
8467421000006111,Severe sepsis with acute organ dysfunction due to Group B streptococcus
4201421000006118,Septic enteritis
2516291000006112,Sepsis during labor
373279019,Septicaemia during labour
2516271000006111,Septicemia during labor
306858014,Septicaemia during labour unspecified
2516261000006116,Sepsis during labour
306865018,Septicaemia during labour NOS
2681261000006117,Illegal abortion with sepsis
2681251000006119,Illegal termination of pregnancy with sepsis
9481671000006118,Postprocedural septic shock
9481681000006115,Septic shock after procedure
286163010,Other specified other gastrointestinal infection
878941000006117,Gastroenteritis - viral + NOS
21441016,Infectious gastroenteritis
473395016,Gastric flu
286164016,Other specified gastrointestinal tract infections NOS
2698381000006110,Septic gastroenteritis
8039761000006116,Septic shock co-occurrent with acute organ dysfunction caused by anaerobic bacteria
8039751000006118,Septic shock co-occurrent with acute organ dysfunction due to anaerobic bacteria
8039771000006111,Septic shock co-occurrent with acute organ dysfunction due to Haemophilus influenzae
8039781000006114,Septic shock co-occurrent with acute organ dysfunction caused by Haemophilus influenzae
8039801000006113,Septic shock co-occurrent with acute organ dysfunction caused by Meningococcus
8039791000006112,Septic shock co-occurrent with acute organ dysfunction due to Meningococcus
8039811000006111,Septic shock co-occurrent with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus
8039821000006115,Septic shock co-occurrent with acute organ dysfunction caused by methicillin susceptible Staphylococcus aureus
8039841000006110,Septic shock co-occurrent with acute organ dysfunction caused by Pseudomonas
8039831000006117,Septic shock co-occurrent with acute organ dysfunction due to Pseudomonas
8039851000006112,Septic shock co-occurrent with acute organ dysfunction due to Serratia
8039861000006114,Septic shock co-occurrent with acute organ dysfunction caused by Serratia
8039871000006119,Septic shock co-occurrent with acute organ dysfunction due to Staphylococcus
8039891000006118,Septic shock co-occurrent with acute organ dysfunction caused by Streptococcus
8039881000006116,Septic shock co-occurrent with acute organ dysfunction due to Streptococcus
8039911000006116,Septic shock co-occurrent with acute organ dysfunction caused by Pneumococcus
