SNOMEDCTCodes,Description
10001005,Bacterial septicemia
105592009,Septicemia
10751351000119104,Sepsis due to ectopic pregnancy
10760081000119108,Pyemic and septic embolism in childbirth (disorder)
10760131000119108,Pyaemic and septic embolism in pregnancy
10812001000119100,Sepsis due to incomplete spontaneous abortion
1089000,Intrauterine sepsis of fetus
1092461000119104,Sepsis without acute organ dysfunction (disorder)
1092471000119105,Septic shock co-occurrent with acute organ dysfunction due to Chromobacterium (disorder)
1092481000119108,Septic shock co-occurrent with acute organ dysfunction due to coagulase-negative Staphylococcus (disorder)
1092491000119106,Septic shock co-occurrent with acute organ dysfunction due to Enterococcus
1092501000119104,Septic shock co-occurrent with acute organ dysfunction due to Gonococcus
1092511000119101,Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus
1092531000119106,Septic shock co-occurrent with acute organ dysfunction due to Group A streptococcus (disorder)
1092541000119102,Septic shock co-occurrent with acute organ dysfunction due to Group B streptococcus (disorder)
1092571000119109,Severe sepsis with acute organ dysfunction due to Chromobacterium (disorder)
1092581000119107,Severe sepsis with acute organ dysfunction due to coagulase negative Staphylococcus
1092591000119105,Severe sepsis with acute organ dysfunction due to Enterococcus
1092601000119103,Severe sepsis with acute organ dysfunction caused by Gonococcus (disorder)
1092611000119100,Severe sepsis with acute organ dysfunction due to Gram-positive bacteria
1092631000119105,Severe sepsis with acute organ dysfunction due to Group A streptococcus
1092641000119101,Severe sepsis with acute organ dysfunction due to Group B streptococcus (disorder)
111430000,Legal abortion with septicemia
111821004,Staphylococcal septicemia
111837005,Other gram-negative septicemia
111938001,Septic enteritis
1125006,Septicemia during labor
11373009,Illegal abortion with sepsis
11855002,Septicemia following molar AND/OR ectopic pregnancy
12020000,Abortion with septicemia
12266551000119108,Postprocedural septic shock (disorder)
123301002,Puerperal sepsis
12463005,"Septic gastroenteritis, NOS"
127141000119107,Septic shock co-occurrent with acute organ dysfunction due to anaerobic bacteria
127171000119100,Septic shock co-occurrent with acute organ dysfunction due to Hemophilus influenzae (disorder)
127181000119102,Septic shock co-occurrent with acute organ dysfunction due to Meningococcus (disorder)
127191000119104,Septic shock co-occurrent with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus (disorder)
127201000119101,Septic shock co-occurrent with acute organ dysfunction due to Pseudomonas (disorder)
127231000119108,Septic shock co-occurrent with acute organ dysfunction due to Serratia (disorder)
127241000119104,Septic shock co-occurrent with acute organ dysfunction due to Staphylococcus (disorder)
127251000119102,Septic shock co-occurrent with acute organ dysfunction due to Streptococcus
127261000119100,Septic shock co-occurrent with acute organ dysfunction due to Pneumococcus
127271000119106,Severe sepsis with acute organ dysfunction due to anaerobic bacteria
127291000119107,Severe sepsis with acute organ dysfunction due to Gram-negative bacteria (disorder)
127301000119108,Severe sepsis with acute organ dysfunction due to Haemophilus influenzae (disorder)
127311000119106,Severe sepsis with acute organ dysfunction due to Meningococcus (disorder)
127321000119104,Severe sepsis with acute organ dysfunction due to methicillin resistant Staphylococcus aureus
127331000119101,Severe sepsis with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus (disorder)
127341000119105,Severe sepsis with acute organ dysfunction due to Pneumococcus (disorder)
127351000119107,Severe sepsis with acute organ dysfunction due to Pseudomonas
127361000119109,Severe sepsis with acute organ dysfunction due to Salmonella
127381000119100,Severe sepsis with acute organ dysfunction due to Serratia (disorder)
127391000119102,Severe sepsis with acute organ dysfunction due to Staphylococcus (disorder)
127401000119100,Severe sepsis with acute organ dysfunction due to Streptococcus (disorder)
128070006,Abdominal sepsis
128381000119104,Septic shock co-occurrent with acute organ dysfunction due to methicillin resistant Staphylococcus aureus
12983003,Failed attempted abortion with septic shock
14972006,Anthrax septicemia
