SNOMEDCTCodes,Description
83901003,Sjögren's syndrome (disorder)
724782005,Demyelination of central nervous system co-occurrent and due to Sjogren disease (disorder)
78946008,"Keratoconjunctivitis sicca, in Sjögren's syndrome (disorder)"
196137000,Lung disease with Sjögren's disease (disorder)
126766000,Lymphoepithelial sialadenitis of Sjögren's syndrome (disorder)
762303003,Pediatric onset Sjögren syndrome (disorder)
239912009,Primary Sjögren's syndrome (disorder)
239914005,Primary Sjögren's syndrome with multisystem involvement (disorder)
239913004,Primary Sjögren's syndrome with organ/system involvement (disorder)
239915006,Secondary Sjögren's syndrome (disorder)
239917003,Secondary Sjögren's syndrome with multisystem involvement (disorder)
239916007,Secondary Sjögren's syndrome with organ/system involvement (disorder)
