MedCodeID,Description
4386921000006112,Lymphoepithelial sialadenitis of Sjogren's syndrome
4386931000006110,Lymphoepithelial sialadenitis of Sjogren syndrome
4386901000006119,Lymphoepithelial sialadenitis of Sjogren's syndrome
4386911000006116,Myoepithelial sialadenitis in Sjogren's syndrome
4782461000006113,Lung disease with Sjogren's disease
4782481000006115,Lung disease with Sjogren disease
301720019,Lung disease with Sjogren's disease
5141121000006110,Primary Sjogren's syndrome
5141131000006113,Primary Sjogren syndrome
5141111000006119,Primary Sjogren's syndrome
5141151000006118,Primary Sjogren's syndrome with organ/system involvement
5141161000006116,Primary Sjogren syndrome with organ/system involvement
5141141000006115,Primary Sjogren's syndrome with organ/system involvement
5141191000006112,Primary Sjogren syndrome with multisystem involvement
5141181000006114,Primary Sjogren's syndrome with multisystem involvement
5141171000006111,Primary Sjogren's syndrome with multisystem involvement
5141211000006113,Secondary Sjogren's syndrome
5141221000006117,Secondary Sjogren syndrome
5141201000006110,Secondary Sjogren's syndrome
5141251000006114,Secondary Sjogren syndrome with organ/system involvement
5141231000006119,Secondary Sjogren's syndrome with organ/system involvement
5141241000006112,Secondary Sjogren's syndrome with organ/system involvement
5141261000006111,Secondary Sjogren's syndrome with multisystem involvement
5141271000006116,Secondary Sjogren's syndrome with multisystem involvement
5141281000006118,Secondary Sjogren syndrome with multisystem involvement
7861231000006117,Demyelination of central nervous system with Sjogren disease
7861221000006115,Demyelination of central nervous system co-occurrent and due to Sjogren disease
3635312010,Pediatric onset Sjogren syndrome
3635313017,Paediatric onset Sjogren syndrome
3783951000006114,"Keratoconjunctivitis sicca, in Sjogren syndrome"
3783931000006119,"Keratoconjunctivitis sicca, in Sjogren's syndrome"
3783941000006112,"Keratoconjunctivitis sicca, in Sjogren's syndrome"
3865051000006112,Sjogren's disease
3865061000006114,Sjogren's syndrome
3865081000006116,Sjogrens syndrome
3865071000006119,Sjogren syndrome
3865031000006117,Sjogren's syndrome
297645018,Myopathy due to Sjogren's disease
