CTV3Codes,Description
X78el,Squamous cell carcinoma of lip
X78bU,Squamous cell carcinoma of cornea
X00Z8,Squamous cell carcinoma of eyelid
X78RR,Squamous cell carcinoma of skin
Xa34C,Squamous cell carcinoma of skin of upper lip
Xa34D,Squamous cell carcinoma of skin of lower lip
Xa34e,Squamous cell carcinoma of skin of cheek
X78RS,Clear cell squamous cell carcinoma of skin
X78RT,Spindle cell carcinoma of skin
X78RU,Acantholytic squamous cell carcinoma of skin
X78RV,Plantar verrucous squamous cell carcinoma of skin
Xa0EY,Squamous cell carcinoma of scrotum
X78Xw,Squamous cell carcinoma of vulva
B33z.,Squamous cell carcinoma of skin NOS
X78bM,Squamous cell carcinoma of conjunctiva
X78gS,Squamous cell carcinoma of anal margin
X78RW,Squamous cell carcinoma in situ of skin
X78il,Queryat's erythroplasia
X0027,Bowen's disease of eyelid
XaEJc,Bowen's disease of vulva
