MedCodeID,Description
5084821000006115,Postprocedural steatorrhoea
5084831000006117,Postprocedural steatorrhea
5084841000006110,Postprocedural intestinal steatorrhoea
5084851000006112,Postprocedural intestinal steatorrhea
5084871000006119,Postprocedural pancreatic steatorrhea
5084861000006114,Postprocedural pancreatic steatorrhoea
2947291000006111,Chronic steatorrhea
483694017,Chronic steatorrhoea
6567741000006113,Idiopathic steatorrhea
6567851000006116,Nontropical sprue
6567831000006111,Non-tropical sprue
131661000006114,Sprue - nontropical
6567711000006114,Idiopathic steatorrhoea
3266061000006112,Tropical enteropathy
79003019,Tropical sprue
3266031000006115,Tropical steatorrhea
3266051000006110,TS - Tropical sprue
3266041000006113,Tropical steatorrhoea
3385701000006110,Pancreatic steatorrhea
496986017,Pancreatic steatorrhoea
3576331000006115,Steatorrhea
125791000006113,Fatty stool
3576341000006113,Steatorrhoea
317724012,[D]Fat in stool
445122011,Malabsorption due to intolerance to fat
