SNOMEDCTCodes,Description
417298001,Abnormal craving for drugs (finding)
231467000,Absinthe addiction (disorder)
712543006,Abstinent from drug misuse in normal environment (finding)
712544000,Abstinent from drug misuse in protected environment (finding)
712545004,Abstinent from drug misuse on maintenance replacement (finding)
712546003,Abstinent from drug misuse when receiving blocking therapy (finding)
191928000,Abuse of antidepressant drug (disorder)
280984005,Abuse of herbal medicine (disorder)
231459008,Abuse of nonpsychotropic analgesic drugs (disorder)
231458000,Abuse of steroids (disorder)
762504005,Abuse of synthetic cathinone (disorder)
105549004,Abuses volatile solvents (finding)
296302007,Accidental cannabis overdose (disorder)
291246000,Accidental cannabis poisoning (disorder)
295175007,Accidental heroin overdose (disorder)
295567006,Accidental local cocaine overdose (disorder)
296314004,Accidental mescaline overdose (disorder)
295163002,Accidental methadone overdose (disorder)
290220008,Accidental narcotic poisoning (disorder)
296322006,Accidental overdose by cocaine (disorder)
296326009,Accidental overdose by crack cocaine (disorder)
296306005,Accidental overdose by lysergic acid (disorder)
216551003,Accidental poisoning caused by cannabis derivatives (disorder)
291261004,Accidental poisoning caused by crack cocaine (disorder)
216550002,Accidental poisoning caused by hallucinogens (disorder)
216463005,Accidental poisoning caused by heroin (disorder)
216554006,Accidental poisoning caused by mescaline (disorder)
216555007,Accidental poisoning caused by psilocin (disorder)
216556008,Accidental poisoning caused by psilocybin (disorder)
231482005,Active drug dependence (disorder)
191802004,Acute alcoholic intoxication in alcoholism (disorder)
231466009,Acute drug intoxication (disorder)
943111000000105,Acute stimulant intoxication (disorder)
228413007,Age at starting drug misuse (observable entity)
15167005,Alcohol abuse (disorder)
408945004,Alcohol abuse prevention (procedure)
408948002,Alcohol abuse prevention management (procedure)
73097000,Alcohol amnestic disorder (disorder)
66590003,Alcohol dependence (disorder)
10755041000119100,Alcohol dependence in childbirth (disorder)
10741871000119101,Alcohol dependence in pregnancy (disorder)
827094004,Alcohol detoxification (regime/therapy)
720175009,Alcohol harm reduction program (regime/therapy)
288031000119105,Alcohol induced disorder co-occurrent and due to alcohol dependence (disorder)
160592001,Alcohol intake above recommended sensible limits (finding)
25702006,Alcohol intoxication (disorder)
166251000000100,Alcohol misuse enhanced services administration (procedure)
707166002,Alcohol reduction program (regime/therapy)
35637008,Alcohol rehabilitation (regime/therapy)
20093000,Alcohol rehabilitation and detoxification (regime/therapy)
720176005,Alcohol relapse prevention program (regime/therapy)
720178006,Alcohol twelve step program (regime/therapy)
8635005,Alcohol withdrawal delirium (disorder)
308742005,Alcohol withdrawal-induced convulsion (disorder)
34938008,Alcohol-induced anxiety disorder (disorder)
