MedCodeID,Description
2664251000006119,Cocaine induced mood disorder
2664241000006116,Cocaine-induced mood disorder
8414771000006114,Injury following mephedrone use
2639961000000113,Opioid analgesic dependence
4120431000006119,Occasional drug user
4120421000006117,Occasional drug abuser
4120441000006112,Occasional drug misuser
4120451000006114,Abuses volatile solvents
4120461000006111,Volatile solvent abuser
4120471000006116,Misuses volatile solvents
8437891000006117,Injury following ketamine use
8437901000006118,Injury following synthetic cannabinoid use
8437911000006115,Injury following spice use
8437921000006111,Injury following barbiturate use
8437931000006114,Injury following LSD (lysergic acid diethylamide) use
8437941000006116,Injury following nitrous oxide inhalation
8437971000006112,Injury following phencyclidine use
8437991000006113,Injury following organic hallucinogen use
9322521000006111,Alcohol dependence in pregnancy
9324921000006113,Alcohol dependence in childbirth
9324941000006118,Drug dependence in childbirth
8454501000006115,Emergency hospital admission to addiction service
8455191000006116,Injury following amyl nitrate use
7967571000006119,"Opioid dependence, on agonist therapy"
2724261000000112,Late onset cocaine-induced psychosis
2724281000000115,Late onset LSD (lysergic acid diethylamide)-induced psychosis
2724301000000119,Late onset cannabinoid-induced psychosis
2724321000000111,Late onset amphetamine-induced psychosis
2740831000000114,Harmful use of alcohol
2740851000000119,Harmful use of amphetamine
2740871000000111,Harmful use of cannabis
2740891000000110,Harmful use of khat
2740911000000113,Harmful use of cocaine
2740931000000117,Harmful use of hallucinogen
2740951000000112,Harmful use of inhalant
2740971000000115,Harmful use of methanol
2740991000000116,Harmful use of opioid
2741011000000115,Harmful use of sedative
2741031000000111,Harmful use of barbiturate
2741051000000116,Harmful use of stimulant
2741071000000113,Harmful use of synthetic cannabinoid
2741091000000112,Harmful use of synthetic cathinone
4177311000006117,Chronic drug abuse
12618991000006114,Signposting to drug and alcohol support service
9356671000006113,Cannabis hyperemesis syndrome co-occurrent and due to cannabis abuse
9356721000006116,Cannabis hyperemesis syndrome co-occurrent and due to cannabis dependence
12619091000006119,Nitrous oxide misuse
398141000006110,Psychoactive substance use disorder
7994001000006111,Drug addiction notification - HS2A 1(Revision) to Home Office
7994011000006114,Drug addiction re-notification - HS2A to Home Office
8039271000006115,Continuous sedative abuse
1220925010,Heroin poisoning
2709301000006115,Poisoning caused by diacetylmorphine
2709261000006112,Poisoning by heroin
2709271000006117,Poisoning by diacetylmorphine
2709291000006116,Poisoning caused by heroin
2520471000006115,Hallucinogen-induced mood disorder
2520481000006117,Hallucinogen induced mood disorder
2520461000006110,Hallucinogen mood disorder
8046141000006110,Intravenous cocaine abuse
8046161000006114,Intravenous nondependent opioid abuse
8046381000006119,Episodic phencyclidine abuse
2740361000006119,AA - Alcohol abuse
2740351000006116,Ethanol abuse
397881000006114,Alcohol abuse
606991000000117,Alcohol misuse
2741511000006118,Poisoning caused by hashish
2741481000006114,Poisoning by marijuana
477244019,Cannabis poisoning
2741541000006119,Poisoning caused by marijuana derivative
2741501000006116,Poisoning caused by marihuana
2741531000006112,Poisoning caused by marihuana derivative
2741441000006115,Poisoning by marijuana derivative
2741451000006118,Poisoning by marihuana
2741521000006114,Poisoning caused by cannabis derivative
2741431000006113,Poisoning by marihuana derivative
2741421000006110,Poisoning by cannabis derivative
