MedCodeID,Description
4409401000006111,"Systemic sclerosis, diffuse"
4409371000006113,Diffuse scleroderma
4409391000006114,Diffuse cutaneous scleroderma
4409381000006111,Diffuse cutaneous systemic sclerosis
4409361000006118,Diffuse systemic sclerosis
4409421000006118,Systemic sclerosis without skin thickening
4409411000006114,Systemic sclerosis sine scleroderma
4782401000006112,Scleroderma lung disease
301716018,Lung disease with systemic sclerosis
4782411000006110,Scleroderma of lung
354512012,Renal involvement in scleroderma
354513019,Acute scleroderma renal crisis
5850801000006113,Systemic sclerosis with limited cutaneous involvement
5850811000006111,Limited cutaneous systemic sclerosis
5864711000006117,Limited systemic sclerosis
5864721000006113,Limited scleroderma
5864731000006111,"Systemic sclerosis, limited"
3012991000006113,"Calcinosis, Raynaud phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome"
3012981000006110,"Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome"
3012941000006116,"CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, oesophageal involvement, telangiectasia syndrome"
3012961000006117,"CREST - Calcinosis, Raynaud's phenomenon, sclerodactyly, esophageal involvement, telangiectasia syndrome"
3013001000006114,"Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia syndrome"
3012951000006119,"CREST - Calcinosis, Raynaud's phenomenon, esophageal dysfunction, sclerodactyly, telangiectasia"
3012971000006112,"Calcinosis, Raynaud's phenomenon, oesophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome"
3012911000006115,"Calcinosis cutis, Raynaud's, esophageal dysfunction, sclerodactyly AND telangiectasia"
53211014,CREST syndrome
3012931000006114,"CREST - Calcinosis, Raynaud's phenomenon, oesophageal dysfunction, sclerodactyly, telangiectasia"
3012921000006111,"Calcinosis cutis, Raynaud's, oesophageal dysfunction, sclerodactyly AND telangiectasia"
8103261000006110,Polyneuropathy due to systemic sclerosis
3075191000006112,Dilated cardiomyopathy secondary to scleroderma
3075181000006114,Dilated cardiomyopathy due to systemic sclerosis
6669081000006115,Cutaneous complication of systemic sclerosis
6682241000006113,Calcinosis cutis due to systemic sclerosis
6682231000006115,Scleroderma-associated calcinosis
6682251000006110,Scleroderma-associated hypermelanosis
6682261000006112,Hypermelanosis due to systemic sclerosis
6682281000006119,Telangiectasia due to systemic sclerosis
6682271000006117,Scleroderma-associated telangiectasia
6682311000006117,Scleroderma-associated necrotising vasculitis
6682321000006113,Scleroderma-associated necrotizing vasculitis
6682341000006118,Necrotizing vasculitis due to scleroderma
6682331000006111,Necrotising vasculitis due to scleroderma
6682391000006110,Nail dystrophy due to systemic sclerosis
6682381000006112,Scleroderma-associated nail dystrophy
7284551000006119,Systemic sclerosis caused by chemical
7284541000006116,Systemic sclerosis due to chemical
7288571000006116,PSS - Progressive systemic sclerosis
147834015,Progressive systemic sclerosis
3514051000006114,"Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia (CRST) syndrome"
3514031000006119,"CRST - Calcinosis, Raynaud's phenomenon, sclerodactyly, telangiectasia syndrome"
3514071000006116,"Calcinosis, Raynaud's phenomenon, sclerodactyly, and telangiectasia syndrome"
3514011000006113,CRST syndrome
3514041000006112,"Calcinosis, Raynaud's phenomenon, sclerodactyly, telangiectasia syndrome"
3514061000006111,"Calcinosis, Raynaud phenomenon, sclerodactyly, and telangiectasia (CRST) syndrome"
3514021000006117,"Calcinosis cutis, Raynaud's, sclerodactyly AND telangiectasia"
7731531000006110,Primary biliary cirrhosis co-occurrent with systemic scleroderma
7858421000006118,Pediatric onset systemic sclerosis
7858411000006114,Paediatric onset systemic sclerosis
3921451000006115,Pericarditis due to systemic sclerosis
3921461000006118,Pericarditis secondary to scleroderma
11814811000006110,Pericarditis co-occurrent and due to scleroderma
312581012,[X]Other forms of systemic sclerosis
3949121000006118,Scleroderma syndrome
3949131000006115,SS - Systemic sclerosis
3949101000006111,Systemic scleroderma
309413012,Scleroderma
147833014,Systemic sclerosis
8027031000006117,Glomerulonephritis co-occurrent and due to scleroderma
309416016,Systemic sclerosis induced by drugs and chemicals
