SNOMEDCTCodes,Description
266257000,Transient ischemic attack (disorder)
195210002,Anterior cerebral artery syndrome (disorder)
230716006,Carotid territory transient ischemic attack (disorder)
88032003,Amaurosis fugax (disorder)
12237911000119109,Amaurosis fugax of left eye (disorder)
12237951000119105,Amaurosis fugax of right eye (disorder)
195200006,Carotid artery syndrome hemispheric (disorder)
195209007,Middle cerebral artery syndrome (disorder)
195211003,Posterior cerebral artery syndrome (disorder)
444172003,Recurrent transient cerebral ischemic attack (disorder)
426814001,Transient cerebral ischemia due to atrial fibrillation (disorder)
710575003,Transient ischemic attack due to embolism (disorder)
230717002,Vertebrobasilar territory transient ischemic attack (disorder)
161511000,History of transient ischemic attack (situation)
13016361000119101,History of amaurosis fugax (situation)
140221000119109,History of transient ischemic attack due to embolism (situation)
413124000,Stroke/transient ischemic attack referral (finding)
751371000000107,Personal history of transient ischaemic attack (situation)
1079201000000105,Emergency hospital admission to transient ischaemic attack service (procedure)
893041000000108,Transient ischaemic attack service (qualifier value)
523651000000107,Transient ischaemic attack monthly review (regime/therapy)
705146005,Referral to transient ischemic attack clinic (procedure)
736288002,Transient ischemic attack clinical management plan (record artifact)
1110981000000100,Quality and Outcomes Framework stroke and transient ischaemic attack quality indicator-related care invitation (procedure)
143471000000105,Quality and Outcomes Framework stroke and transient ischaemic attack quality indicator-related care invitation using preferred method of communication (procedure)
